顧客ID,施術時間
6152645,60
6152647,45
6152658,135
6152667,120
6152668,60
6152669,60
6152670,75
6152671,90
6212125,240
6212360,60
6212398,0
6212467,30
6212477,60
6212495,60
6212514,90
6212541,0
6212579,90
6212589,120
6212590,60
6222235,120
6222236,60
6232219,90
6232230,45
6232244,105
6232260,120
6232262,225
6232263,135
6252219,90
6252378,120
6252382,45
6252391,45
6312039,60
6312116,60
6312500,90
6312535,90
6312559,45
6312570,45
6322157,45
6322190,15
6322269,30
6322270,60
6322334,180
6322338,120
6331012,90
6332200,60
6332288,75
6332295,30
6342072,45
6342084,60
6342087,45
6412148,345
6412190,60
6412327,60
6412555,75
6412644,120
6412666,60
6412670,120
6412675,150
6412677,120
6412678,60
6422007,30
6422044,150
6432044,60
6432132,45
6452035,60
6452136,60
6452139,90
6512336,90
6512348,60
6512415,180
6522053,60
6542018,105
6552073,180
6612107,60
6612335,60
6612343,90
6612346,90
6612356,90
6621006,75
6622158,60
6622170,90
6622194,135
6631018,60
6632263,90
6632266,90
6632270,60
6632274,120
6632289,60
6632291,210
6632294,45
6632296,30
6632298,90
6632299,120
6652135,90
6652146,75
6652156,120
6712061,60
6712073,30
6712234,60
6722126,60
6722275,120
6732092,60
6732117,45
6752151,45
6752152,165
6811119,60
6812142,15
6812210,90
6812330,60
6812417,30
6812423,60
6812436,45
6812442,105
6812445,120
6852180,30
6852232,90
6912130,30
6912175,90
6922021,90
6991031,30
7122101,60
7132022,90
7152034,60
7152105,210
7152106,90
7152107,90
7212075,60
7212076,120
7232028,60
7232030,90
7252061,210
7252062,120
7312039,0
7332035,60
7332040,150
7512075,120
7622027,90
7632028,150
7722036,60
7752020,120
7812052,30
7812053,135
7812054,60
7852032,150
7912024,15
8511077,45
9111022,90
9112082,90
9112196,60
9121106,150
9122300,0
9122305,75
9122352,60
9122365,150
9132090,45
9152041,45
9152287,120
9152288,120
9212167,60
9212205,15
9212273,60
9232092,180
9251021,60
9252084,60
9252149,90
9252182,135
9252183,90
9312200,90
9332109,60
9332119,90
9412264,135
9432031,60
9442018,90
9451010,90
9452046,60
9522045,90
9551003,30
9552041,90
9622078,195
9712162,90
9722100,60
9722108,45
9752074,45
9912085,90
9912089,90
9922014,90
10112176,90
10122267,30
10122291,90
10212214,60
10221108,60
10312194,60
10312223,120
10321078,0
10342016,60
10412119,15
10412247,45
10412248,60
10412249,60
10612104,60
10711001,120
10712115,0
10722089,60
10852087,90
10912073,0
11112194,60
11122167,15
11122280,0
11122345,60
11122349,45
11122352,45
11122359,60
11122360,60
11152198,60
11152276,90
11212243,60
11212247,90
11212255,60
11212259,90
11222077,75
11232095,60
11232096,135
11252075,60
11252154,60
11312019,90
11312218,60
11322034,90
11322099,60
11322116,30
11332112,60
11332113,60
11332114,105
11332115,60
11412215,60
11412281,60
11412285,45
11412288,90
11432056,60
11512011,60
11512028,75
11512193,60
11512196,150
11612101,60
11612131,30
11612133,45
11612135,60
11632146,60
11632147,60
11712051,60
11712140,30
11712147,60
11732048,180
11812053,60
11812151,45
11812160,60
11852086,45
11922006,60
12151053,90
12152146,60
12412144,60
12512077,60
12542009,30
12611018,30
12612073,90
12712077,60
12722053,60
12812110,75
12812128,60
14111048,75
14121052,60
14122257,90
14132111,75
14212302,90
14222079,75
14252067,60
14312153,90
14312160,60
14312165,120
14332142,45
14412382,90
14412407,60
14512013,90
14512016,75
14512269,285
14512274,90
14512275,150
14611024,105
14611033,90
14722010,15
14722085,75
14722182,90
14751002,90
14812035,90
14912126,105
15111000,60
15121015,45
15122206,90
15122213,60
15122275,30
15132058,60
15142028,90
15142041,60
15152214,60
15212185,90
15212190,60
15212197,60
15212217,180
15222116,120
15232086,90
15251006,60
15252184,30
15312010,60
15312194,60
15332099,60
15332107,210
15411006,60
