,顧客ID,商品コード,売上単価,数量,売上,明細ID
2834,15852079,200006,8640,1,8640,320000506181
2843,16122232,200071,16200,1,16200,540000163012
2846,16122376,1B2201,28080,1,28080,730000109181
2852,16122474,1A1501,105840,1,105840,160000637352
2862,16122475,1A1601,82080,1,82080,160000637811
2875,16142045,200071,16200,1,16200,2010000017371
2881,16152345,200006,8640,1,8640,160000640131
2900,16212159,200071,16200,1,16200,730000108251
2915,16312033,200006,8640,1,8640,380000323501
2926,16322141,200006,8640,1,8640,160000638111
2933,16322211,200006,8640,1,8640,160000635352
2941,16322211,200071,16200,1,16200,160000639781
2944,16322212,200006,8640,1,8640,160000636121
2946,16322214,200071,16200,1,16200,160000639671
2949,16342059,1B2201,28080,1,28080,160000640171
2958,16512300,1A1601,82080,1,82080,160000636991
2965,16552052,200006,8640,1,8640,20001637991
2967,16612146,200006,8640,1,8640,160000636111
2969,16612247,200006,8640,1,8640,160000639811
2973,16622143,1B2201,28080,1,28080,160000635181
2977,16632184,200006,8640,1,8640,160000636381
2996,16812295,200071,16200,1,16200,160000636362
3009,16852145,1B2201,28080,1,28080,1770000185496
3016,17152147,200071,16200,1,16200,60000739011
3020,17212090,200006,8640,1,8640,60000739451
3039,18151051,1B2201,28080,1,28080,20001631101
3044,18251019,200071,16200,1,16200,70000144781
3051,18722023,200071,16200,1,16200,660000216751
3054,18751007,200006,8640,1,8640,1430000224971
3070,20412105,200071,16200,1,16200,160000635991
3075,21212128,1B2201,28080,1,28080,1380000018373
3094,21712045,200006,8640,1,8640,1380000018761
3095,21812134,1B2201,28080,1,28080,1200000288771
3102,22311017,200006,8640,1,8640,1620000243401
3105,22412060,1B2201,28080,1,28080,380000323741
3114,23132020,200006,8640,1,8640,1620000241101
3116,23132090,200006,8640,3,25920,1620000245061
3120,23212301,200006,8640,0,0,1620000238031
3122,23212301,1B2201,28080,1,28080,1620000238033
3131,23252112,200006,8640,1,8640,1620000236921
3133,23312222,200006,8640,1,8640,1620000244471
3144,23432056,200006,8640,1,8640,1620000240521
3161,23622103,200071,16200,1,16200,1620000237681
3165,23622129,200071,16200,1,16200,630000730302
3166,23622129,200006,8640,1,8640,630000730303
3173,23711020,200071,16200,1,16200,1160000005901
3177,23712128,1B2201,28080,1,28080,1620000238951
3182,23712276,200006,8640,0,0,1620000241111
3201,25152116,200006,8640,1,8640,550000202271
3213,25152370,200071,16200,1,16200,250000596051
3214,25152370,200006,8640,1,8640,250000596052
3221,25152380,1B2201,28080,1,28080,250000594114
3245,25252167,1B2201,28080,1,28080,250000594466
3254,25412198,200006,8640,1,8640,250000595211
3257,25412315,200006,8640,1,8640,250000594701
3262,25432075,1B2201,28080,1,28080,530000896083
3272,25522046,200006,8640,1,8640,250000597341
3278,25632109,200006,8640,1,8640,360000665892
3298,25852013,200006,8640,1,8640,250000595002
3311,26452052,200006,8640,1,8640,20001636611
3318,26552042,1B2201,28080,1,28080,110000407891
3322,26632016,200006,8640,1,8640,530000903241
3329,27122107,1B2201,28080,1,28080,430000083531
3352,28152057,200006,8640,1,8640,280000299241
3362,28152265,200006,8640,1,8640,1940000026001
3366,28152279,200006,8640,1,8640,280000298101
3367,28152279,200071,16200,1,16200,280000298102
3371,28152281,200006,8640,1,8640,280000299341
3382,28232020,1B2201,28080,1,28080,280000298615
3392,28232058,1B2201,28080,1,28080,280000297605
3394,28252051,1B2201,28080,1,28080,280000298531
3406,28312184,1A1501,105840,1,105840,280000297881
3407,28312184,1B2201,28080,1,28080,280000297882
3426,28332027,1B2201,28080,1,28080,280000298654
3434,28352019,1B2201,28080,1,28080,530000899243
3441,28431000,1B2201,28080,1,28080,20001628641
3448,28612090,1B2201,28080,1,28080,280000297473
3465,28652012,200006,8640,1,8640,1200000288341
3479,29112292,1B2201,28080,1,28080,290000366452
3485,29122245,1A1501,105840,1,105840,60000739881
3487,29122245,1B2201,28080,1,28080,60000739883
3489,29122294,200071,16200,1,16200,290000366591
3501,29212137,200006,8640,1,8640,60000736601
3507,29212264,1A1601,82080,1,82080,290000366612
3515,29222100,200006,8640,1,8640,290000366631
3525,29232087,1B2201,28080,1,28080,60000739175
3536,29252168,200006,8640,1,8640,290000366321
3545,29332139,200006,8640,1,8640,290000366491
3550,29542009,200006,8640,1,8640,1110000054941
3569,29732067,200006,8640,1,8640,290000366482
3572,31112017,1A1601,82080,1,82080,1100000050551
3577,31112028,200006,8640,1,8640,880000050741
3582,32112209,1A1601,82080,1,82080,320000509341
3585,32122317,200006,8640,1,8640,1430000224531
3600,32152299,1B2201,28080,1,28080,320000506592
3608,32152299,1B2201,28080,1,28080,320000509023
3619,32212284,1B2201,28080,1,28080,320000509972
3634,32222117,1A1601,82080,1,82080,320000505602
3641,32222118,200006,8640,1,8640,320000506291
3646,32252190,1B2201,28080,1,28080,320000509353
3651,32252196,1A1501,105840,1,105840,320000509531
3677,32412105,1B2201,28080,1,28080,320000509281
3690,32432017,1B2201,28080,1,28080,370000441794
3697,32512106,1B2201,28080,1,28080,320000508502
3703,32512246,1A1501,105840,1,105840,320000508892
3707,32512246,1B2201,28080,1,28080,320000508896
3718,32552032,1B2201,28080,1,28080,320000509715
3727,32612147,200006,8640,1,8640,320000508351
3730,32632114,1B2201,28080,1,28080,320000506582
3738,32652006,200006,8640,1,8640,320000505851
3746,32712124,200006,8640,1,8640,320000508511
3748,32712139,200071,16200,1,16200,20001638721
3749,32712139,200006,8640,1,8640,20001638722
3753,32712139,1B2201,28080,1,28080,730000108241
3770,32722124,1B2201,28080,1,28080,320000507731
3776,32812119,200006,8640,1,8640,60000736631
3787,32832010,1B2201,28080,1,28080,320000507213
3794,32852118,1A1501,105840,1,105840,320000505912
3814,34122072,1A1501,105840,1,105840,340000051802
3816,34122072,1B2201,28080,1,28080,340000051804
