,顧客ID,状況,指名区分,予約回数
733,014512269,予確済,なし,2
734,014512274,予確済,なし,2
735,014512274,取消,なし,1
736,014512275,予確済,なし,2
737,014611024,予確済,なし,1
738,014611033,予約,あり,1
739,014611033,予約,なし,1
740,014722010,予確済,なし,1
741,014722010,変更取消,なし,1
742,014722085,予確済,あり,1
743,014722182,予約,なし,1
744,014751002,予約,あり,1
745,014812035,予約,あり,1
746,014912126,予約,なし,1
747,015111000,予確済,なし,1
748,015111000,予約,なし,1
749,015121015,予確済,なし,1
750,015121015,予約,なし,1
751,015122206,予確済,なし,1
752,015122206,予約,なし,1
753,015122213,予約,あり,1
754,015122275,予確済,なし,1
755,015122275,変更取消,なし,1
756,015132058,予確済,なし,1
757,015132058,予約,なし,1
758,015142028,予確済,なし,1
759,015142028,予約,なし,3
760,015142041,予約,あり,1
761,015152214,予確済,なし,1
762,015152214,予約,あり,1
763,015212185,予確済,なし,1
764,015212190,予約,なし,4
765,015212197,予約,なし,1
766,015212217,予確済,なし,2
767,015212217,予約,なし,1
768,015222116,予確済,なし,1
769,015222116,予約,なし,2
770,015232086,予確済,なし,1
771,015251006,予約,あり,1
772,015251006,予約,なし,1
773,015252184,予確済,なし,1
774,015312010,予確済,あり,1
775,015312194,予約,なし,2
776,015332099,予約,なし,1
777,015332107,予確済,なし,3
778,015411006,予確済,あり,1
779,015412008,予確済,なし,1
780,015412156,予確済,なし,1
781,015512187,予確済,なし,1
782,015512201,予確済,なし,1
783,015512201,予約,なし,2
784,015522058,予確済,なし,1
785,015552029,予確済,なし,1
786,015611002,予確済,なし,1
787,015612119,予約,なし,1
788,015612149,予確済,なし,2
789,015612149,予約,なし,1
790,015632122,予約,なし,2
791,015652035,予確済,あり,1
792,015652040,予確済,あり,1
793,015652040,変更取消,あり,1
794,015712160,予確済,なし,1
795,015722121,予約,なし,1
796,015752060,予確済,なし,1
797,015752060,変更取消,なし,1
798,015811014,予確済,なし,1
799,015812161,予約,なし,1
800,015812163,予確済,なし,1
801,015812167,予約,なし,1
802,015852079,予約,なし,1
803,015912041,予確済,なし,1
804,016111032,予約,なし,1
805,016122232,予確済,なし,1
806,016122232,変更取消,なし,1
807,016122376,予確済,なし,1
808,016122376,取消,なし,1
809,016122474,予確済,なし,2
810,016122474,予約,なし,3
811,016122475,予確済,なし,2
812,016122475,予約,なし,3
813,016132106,予約,なし,1
814,016142045,予約,なし,1
815,016142067,予約,あり,1
816,016152345,予確済,なし,1
817,016152368,予確済,なし,1
818,016152401,予約,なし,1
819,016152456,予確済,なし,2
820,016152456,予約,なし,1
821,016212159,予確済,なし,1
822,016212325,予約,なし,1
823,016212368,予確済,なし,1
824,016212368,予約,なし,1
825,016212368,変更取消,なし,1
826,016212370,予確済,なし,1
827,016322141,予約,なし,1
828,016322200,予約,なし,1
829,016322211,予確済,なし,4
830,016322211,予約,なし,1
831,016322211,変更取消,なし,1
832,016322214,予確済,なし,1
833,016342059,予約,なし,1
834,016422032,予約,なし,1
835,016512230,予約,なし,1
836,016512300,予確済,なし,2
837,016512300,予約,なし,1
838,016552052,予確済,なし,1
839,016612231,予確済,なし,1
840,016612247,予確済,なし,1
841,016622158,予約,なし,1
842,016632184,予確済,なし,1
843,016712187,予約,なし,2
844,016732067,予確済,なし,1
845,016752075,予約,なし,1
846,016812278,予確済,なし,1
847,016812278,予約,なし,1
848,016812295,予約,なし,1
849,016852103,予約,なし,1
850,016852125,予約,なし,1
851,016852145,予約,なし,1
852,017152141,予約,なし,1
853,017152147,予確済,なし,1
854,017152147,予約,なし,1
855,017212090,予確済,なし,1
856,017212090,予約,なし,1
857,017312088,予約,なし,2
858,017412147,予確済,なし,1
859,018151051,予約,あり,1
860,018251019,予確済,なし,1
861,018312041,予確済,なし,1
862,018312041,予約,なし,1
863,018622037,予約,なし,1
864,018751007,予確済,あり,1
865,019312031,予約,あり,1
866,019812133,予確済,なし,2
867,019812133,予約,なし,1
868,019812133,変更取消,なし,1
869,020412105,予確済,なし,1
870,020412105,取消,なし,1
871,021152060,予確済,なし,1
872,021212128,予確済,なし,1
873,021311026,予約,あり,1
874,021321017,予確済,なし,1
875,021412174,予約,なし,1
876,021812134,予約,なし,1
877,022311017,予確済,なし,1
878,022412060,予確済,なし,1
879,022412060,仮予約,なし,1
880,023132020,予確済,なし,1
881,023132090,予確済,なし,1
882,023212301,予約,なし,1
883,023212334,予確済,なし,1
884,023212334,予約,なし,1
885,023212334,変更取消,なし,1
886,023222148,予確済,なし,1
887,023252112,予確済,なし,1
888,023312222,予確済,なし,1
889,023412415,予約,なし,1
890,023412430,予確済,なし,1
891,023432056,予確済,なし,1
892,023512234,予確済,なし,1
893,023512234,予約,なし,1
894,023512313,予確済,なし,1
895,023612006,予確済,なし,1
896,023612006,予約,なし,1
897,023622103,予確済,なし,1
898,023622129,予確済,なし,1
899,023622129,予約,なし,1
900,023622152,予確済,なし,1
901,023652069,予確済,なし,2
902,023652069,予約,なし,1
903,023711020,予確済,なし,1
904,023712128,予確済,なし,1
905,023712276,予確済,なし,1
906,023712276,予約,なし,1
907,023812262,予確済,なし,2
908,023812262,変更取消,なし,1
909,024652010,予確済,なし,1
910,025122303,予約,なし,1
911,025152055,予約,なし,2
912,025152116,予確済,なし,1
913,025152116,変更取消,なし,1
914,025152189,予約,なし,2
915,025152203,予約,なし,1
916,025152370,予約,なし,2
917,025152380,予確済,なし,1
918,025152380,予約,なし,2
919,025152380,取消,なし,1
920,025152380,変更取消,なし,1
921,025222119,予確済,なし,1
922,025222119,取消,なし,1
923,025252167,予約,なし,1
924,025322055,予確済,なし,1
925,025322055,予約,なし,1
926,025412057,予確済,なし,1
927,025412198,予約,なし,1
928,025412315,予約,なし,1
929,025432075,予約,あり,1
930,025522046,予確済,なし,2
931,025522046,予約,なし,1
932,025632109,予確済,なし,2
933,025632109,取消,なし,1
934,025752024,予約,なし,1
935,025812169,予約,なし,2
936,025852013,予確済,なし,2
937,025852013,予約,なし,2
938,025852016,予約,なし,1
939,025912124,予確済,なし,1
940,026452052,予確済,なし,1
941,026452052,予約,なし,1
942,026512135,予確済,なし,1
943,026512154,取消,なし,1
944,026552042,予確済,なし,1
945,026552042,変更取消,なし,1
946,026552045,予確済,なし,1
947,026652043,予確済,なし,1
948,027122107,予確済,なし,1
949,027122107,仮予約,あり,1
950,027122107,取消,なし,1
951,028112051,予確済,なし,1
952,028112051,予約,あり,1
953,028132089,仮予約,なし,1
954,028152263,予確済,なし,1
955,028152265,予確済,なし,2
956,028152265,取消,なし,1
957,028152279,予確済,なし,1
958,028152279,予約,なし,1
959,028152281,予確済,なし,1
960,028212203,予確済,なし,1
961,028212203,変更取消,なし,1
962,028232020,予約,なし,1
963,028232022,予約,なし,1
964,028232058,予約,あり,1
965,028252051,予約,あり,2
966,028252094,予確済,なし,1
967,028312174,予約,なし,1
968,028312184,予確済,なし,2
969,028312184,予約,なし,2
970,028332027,予約,あり,1
971,028332027,予約,なし,2
972,028332057,予確済,なし,1
973,028352018,予確済,なし,1
974,028352019,予確済,なし,1
975,028352019,予約,なし,1
976,028412257,予確済,なし,1
977,028412257,変更取消,なし,1
978,028431000,予確済,なし,1
979,028612090,予約,なし,1
980,028632107,予確済,なし,1
981,028632107,取消,なし,1
982,028812154,予約,なし,1
983,028852078,予約,なし,1
984,028852080,予約,なし,2
985,028922009,予確済,なし,1
986,029112292,予確済,なし,3
987,029122245,予確済,なし,2
988,029122245,予約,なし,2
989,029122294,予確済,なし,1
990,029142041,予約,あり,1
991,029212070,予確済,あり,1
992,029212070,予約,あり,1
993,029212137,予確済,なし,1
994,029212137,取消,なし,1
995,029212264,予確済,なし,2
996,029222100,予約,なし,1
997,029232087,予確済,なし,1
998,029232087,予約,なし,1
999,029239584,予確済,なし,2
1000,029239584,予約,なし,1
1001,029252191,予確済,なし,1
1002,029312131,予約,なし,1
1003,029322150,予確済,なし,2
1004,029322150,取消,なし,2
1005,029322150,変更取消,なし,1
1006,029332139,予約,あり,1
1007,029332139,変更取消,なし,1
1008,029352007,予確済,なし,1
1009,029515211,予確済,あり,1
1010,029542009,予確済,なし,1
1011,029612143,予確済,なし,1
1012,029612143,予約,なし,1
1013,029622062,予確済,なし,1
1014,029622062,取消,なし,1
1015,029712133,予確済,なし,1
1016,029712151,予確済,なし,1
1017,029712151,予約,なし,1
1018,029722214,予確済,なし,1
1019,029732067,予約,なし,2
1020,029852057,予確済,なし,1
1021,029852057,予約,なし,1
1022,031112017,予確済,なし,1
1023,031112017,予約,なし,4
1024,031112028,予確済,なし,1
1025,031412041,予確済,なし,1
1026,031412041,取消,あり,1
1027,032112209,予確済,なし,1
1028,032112209,予約,なし,4
1029,032122317,予確済,なし,1
1030,032122318,予確済,なし,1
1031,032122318,予約,なし,1
1032,032132076,予約,なし,1
1033,032152221,予約,あり,1
1034,032152225,予約,なし,2
1035,032152299,予確済,なし,2
1036,032152299,予約,なし,5
1037,032152306,予約,なし,1
1038,032212138,予確済,なし,1
1039,032212138,予約,なし,1
1040,032212265,予確済,なし,1
1041,032212265,取消,なし,1
1042,032212284,予約,なし,1
1043,032212296,予確済,なし,3
1044,032222115,予約,なし,1
1045,032222117,予確済,なし,3
1046,032222117,予約,なし,2
1047,032222117,変更取消,なし,1
1048,032222118,予約,なし,1
1049,032252190,予確済,なし,1
1050,032252190,予約,なし,2
1051,032252194,予確済,なし,1
1052,032252196,予確済,なし,1
1053,032252196,予約,なし,3
1054,032312138,予約,なし,1
1055,032312259,予確済,なし,1
1056,032312259,予約,なし,2
1057,032312278,予確済,なし,1
1058,032312278,予約,なし,1
1059,032312284,予約,なし,1
1060,032322143,予約,なし,1
1061,032352026,予確済,なし,1
1062,032352026,予約,なし,1
1063,032412105,予確済,なし,1
1064,032412105,予約,なし,1
1065,032412226,予確済,なし,1
1066,032412226,予約,なし,1
1067,032412242,予確済,なし,1
1068,032412325,予確済,なし,1
1069,032412325,予約,なし,1
1070,032412325,変更取消,なし,1
1071,032512106,予約,なし,2
1072,032512241,予確済,なし,1
1073,032512241,予約,なし,3
1074,032512246,予確済,なし,1
1075,032512246,予約,なし,3
1076,032552024,予確済,あり,1
1077,032552024,予約,あり,1
1078,032552024,予約,なし,1
1079,032552032,予約,なし,1
1080,032612033,取消,なし,1
1081,032612126,予確済,なし,1
1082,032612147,予約,なし,1
1083,032632114,予約,なし,1
1084,032632148,予約,なし,1
1085,032712036,予確済,なし,1
1086,032712139,予確済,なし,2
1087,032712139,取消,なし,1
1088,032712160,予確済,なし,1
1089,032712160,予約,なし,3
1090,032722124,予約,なし,2
1091,032812119,予確済,なし,1
1092,032812204,予確済,なし,2
1093,032812204,予約,なし,1
1094,032832010,予約,なし,2
1095,032852118,予確済,なし,3
1096,032852118,予約,なし,2
1097,032912086,予約,なし,1
1098,032912088,予確済,なし,1
1099,032912088,予約,なし,1
1100,034122072,予確済,なし,2
1101,034122072,予約,なし,1
1102,034122073,予確済,なし,1
1103,034312048,予確済,なし,3
1104,034312048,予約,なし,1
1105,034312048,仮予約,なし,1
1106,034552005,予確済,なし,1
1107,034552010,予確済,なし,2
1108,034812074,予確済,なし,1
1109,034812074,変更取消,なし,1
1110,034912020,予確済,なし,2
1111,034912020,予約,なし,1
1112,035112192,予確済,なし,1
1113,035112192,予約,なし,1
1114,035112192,取消,なし,1
1115,035112197,予確済,なし,1
1116,035122357,予約,なし,2
1117,035122411,予確済,なし,1
1118,035122411,予約,なし,1
1119,035122433,予確済,なし,1
1120,035122433,予約,なし,1
1121,035122433,取消,なし,1
1122,035132161,予確済,なし,1
1123,035132161,取消,なし,2
1124,035152126,予確済,なし,2
1125,035152322,予約,あり,1
1126,035152349,予確済,なし,1
1127,035152349,予約,なし,3
1128,035152349,変更取消,なし,2
1129,035152354,予確済,なし,1
1130,035152354,仮予約,なし,1
1131,035212101,予確済,なし,2
1132,035212101,仮予約,あり,1
1133,035212101,変更取消,あり,1
1134,035212101,変更取消,なし,1
1135,035212215,予約,なし,1
1136,035212283,予確済,なし,1
1137,035212283,予約,なし,1
1138,035212295,予約,なし,1
1139,035212312,予確済,なし,1
1140,035212312,予約,なし,1
1141,035222088,予確済,なし,1
1142,035222088,取消,なし,1
1143,035222125,予確済,なし,1
1144,035222125,予約,なし,1
1145,035252192,予約,なし,1
1146,035252212,予約,なし,2
1147,035252216,予確済,なし,3
1148,035252216,変更取消,なし,2
1149,035312208,予約,なし,1
1150,035312213,予約,なし,3
1151,035312214,予確済,なし,1
1152,035312214,取消,なし,2
1153,035312214,変更取消,なし,1
1154,035322206,予約,なし,1
1155,035322210,予約,なし,1
1156,035322214,予確済,なし,1
1157,035322214,変更取消,なし,1
1158,035332010,予確済,なし,1
1159,035412336,予確済,なし,1
1160,035412336,予約,なし,1
1161,035412355,予約,なし,1
1162,035412372,予確済,なし,3
1163,035412372,予約,なし,1
1164,035412376,予約,なし,1
1165,035432083,予確済,なし,1
1166,035432083,予約,なし,2
1167,035452094,予約,なし,1
1168,035512315,予確済,あり,1
1169,035512316,予確済,なし,1
1170,035512316,仮予約,なし,1
1171,035512316,取消,なし,1
1172,035512316,変更取消,なし,1
1173,035522092,予約,あり,1
1174,035522092,予約,なし,1
1175,035612250,予確済,なし,1
1176,035612250,予約,なし,1
1177,035612253,予約,なし,1
1178,035612265,予確済,なし,1
1179,035612265,予約,なし,1
1180,035612265,変更取消,なし,2
1181,035612268,予確済,なし,1
1182,035612268,予約,なし,1
1183,035612268,取消,なし,1
1184,035622137,予確済,なし,1
1185,035632184,予約,あり,1
1186,035632236,予確済,なし,1
1187,035652054,予約,なし,1
1188,035652059,予確済,なし,1
1189,035652059,予約,なし,2
1190,035712151,予確済,なし,1
1191,035712287,予確済,なし,2
1192,035712287,予約,なし,1
1193,035712289,予確済,なし,1
1194,035712289,予約,なし,1
1195,035712290,予確済,なし,1
1196,035712290,予約,なし,1
1197,035722007,予確済,なし,1
1198,035722173,予確済,なし,2
1199,035722173,予約,なし,1
1200,035722176,予約,なし,1
1201,035722191,予約,なし,1
1202,035812289,予確済,なし,1
1203,035812289,予約,なし,1
1204,035812289,変更取消,なし,1
1205,035812304,予確済,なし,3
1206,035812304,予約,なし,1
1207,035812309,予確済,なし,1
1208,035812309,予約,なし,1
1209,035852170,予約,なし,1
1210,035852183,予約,なし,1
1211,035852185,予確済,なし,1
1212,036112245,予確済,なし,1
1213,036112245,予約,なし,1
1214,036112247,予確済,なし,1
1215,036112247,予約,なし,1
1216,036122398,予約,なし,1
1217,036122479,予約,なし,3
1218,036122570,予約,なし,1
1219,036122580,予約,なし,1
1220,036132131,予確済,なし,1
1221,036132131,予約,なし,2
1222,036132131,変更取消,なし,2
1223,036142042,予確済,あり,1
1224,036142042,予約,あり,1
1225,036142042,変更取消,なし,1
1226,036152472,予確済,なし,1
1227,036152472,予約,なし,1
1228,036212048,予確済,あり,1
1229,036212128,予約,なし,1
1230,036222170,予約,なし,1
1231,036232144,予約,なし,1
1232,036232173,予確済,なし,1
1233,036232173,予約,なし,2
1234,036312347,予確済,なし,1
1235,036322038,予確済,なし,1
1236,036322150,予確済,なし,1
1237,036322168,予約,なし,2
1238,036332219,予確済,なし,1
1239,036332219,予約,なし,1
1240,036412369,予約,なし,1
1241,036412369,仮予約,なし,1
1242,036442008,予確済,なし,1
1243,036442008,予約,なし,1
1244,036512216,予約,あり,1
1245,036522052,予確済,なし,1
1246,036522052,予約,なし,1
1247,036542033,予約,なし,2
1248,036612120,予約,なし,1
1249,036622083,予約,なし,3
1250,036622088,予約,なし,1
1251,036622105,予確済,なし,1
1252,036632109,予約,なし,1
1253,036632132,予約,あり,1
1254,036632132,予約,なし,3
1255,036632142,予約,なし,1
1256,036632149,予確済,なし,1
1257,036632149,予約,なし,2
1258,036632149,取消,なし,1
1259,036712181,予約,なし,2
1260,036712187,予約,なし,1
1261,036722153,予確済,なし,1
1262,036722153,予約,なし,3
1263,036732014,予約,なし,1
1264,036732049,予確済,なし,1
1265,036732049,予約,なし,2
1266,036812210,予確済,なし,1
1267,036812210,予約,なし,2
1268,036812266,予約,なし,1
1269,036812276,予約,なし,1
1270,036852155,予約,なし,1
1271,036912118,予約,なし,2
1272,037112229,予確済,なし,1
1273,037122094,予約,なし,1
1274,037122252,予確済,なし,1
1275,037122481,予確済,なし,1
1276,037122481,予約,なし,1
1277,037122494,予確済,なし,2
1278,037122494,予約,なし,1
1279,037122494,変更取消,なし,1
1280,037122495,予確済,なし,2
1281,037122496,予確済,なし,1
1282,037122496,予約,なし,1
1283,037132166,予確済,なし,1
1284,037142047,予確済,なし,1
1285,037142074,予確済,なし,3
1286,037142074,予約,なし,1
1287,037152043,予確済,なし,1
1288,037152043,予約,なし,1
1289,037152043,変更取消,なし,1
1290,037152362,予確済,なし,1
1291,037152394,予確済,なし,1
1292,037152395,予確済,なし,2
1293,037152395,予約,なし,3
1294,037212287,予確済,なし,1
1295,037212326,予確済,なし,1
1296,037212371,予確済,なし,1
1297,037212371,変更取消,なし,1
1298,037212379,予確済,なし,1
1299,037212379,予約,なし,1
1300,037212380,予確済,なし,2
1301,037212380,予約,なし,1
1302,037212381,予確済,なし,1
1303,037212381,予約,なし,1
1304,037212381,取消,なし,1
1305,037212382,予確済,なし,1
1306,037212382,予約,なし,1
1307,037222064,予確済,あり,1
1308,037222064,予約,なし,1
1309,037222119,予確済,なし,1
1310,037232174,予確済,あり,1
1311,037232180,予確済,なし,3
1312,037232180,予約,なし,3
1313,037240003,予確済,なし,1
1314,037252024,予確済,なし,1
1315,037252202,予確済,あり,1
1316,037252219,予確済,なし,1
1317,037252220,予確済,なし,4
1318,037252220,予約,なし,1
1319,037252220,取消,なし,1
1320,037252222,予確済,なし,1
1321,037252222,予約,なし,2
1322,037252223,予確済,なし,1
1323,037252225,予確済,なし,1
1324,037312102,予約,なし,2
1325,037312261,予約,なし,1
1326,037312263,予確済,なし,1
1327,037312263,予約,なし,1
1328,037312264,仮予約,なし,1
1329,037312268,予確済,なし,2
1330,037312268,予約,なし,3
1331,037322098,予確済,なし,1
1332,037322187,予確済,なし,1
1333,037322234,予確済,なし,1
1334,037332076,予確済,なし,1
1335,037332110,予確済,なし,1
1336,037342032,予約,あり,1
1337,037342032,変更取消,なし,1
1338,037412336,予確済,なし,1
1339,037412472,予確済,なし,1
1340,037412472,予約,なし,1
1341,037452111,予確済,なし,1
1342,037452116,予確済,なし,2
1343,037452116,予約,なし,1
1344,037452116,変更取消,なし,3
1345,037512356,予確済,なし,1
1346,037512356,予約,なし,1
1347,037512363,予確済,なし,4
1348,037512363,予約,なし,2
1349,037512364,予確済,なし,2
1350,037512364,予約,なし,1
1351,037512366,予確済,なし,2
1352,037512366,仮予約,なし,1
1353,037522060,予確済,なし,1
1354,037522060,予約,なし,1
1355,037612201,予確済,なし,2
1356,037612201,予約,なし,1
1357,037612201,取消,なし,1
1358,037612201,変更取消,なし,1
1359,037612289,予確済,なし,2
1360,037612289,予約,なし,1
1361,037612291,予確済,なし,2
1362,037612291,予約,なし,2
1363,037622085,予確済,なし,1
1364,037622197,予確済,なし,2
1365,037632264,予確済,なし,1
1366,037632264,予約,なし,1
1367,037632283,予確済,なし,1
1368,037632283,変更取消,なし,1
1369,037632285,予確済,なし,2
1370,037632285,予約,なし,1
1371,037632286,予確済,なし,4
1372,037652083,予確済,なし,2
1373,037652083,予約,なし,3
1374,037712348,予確済,なし,2
1375,037712348,予約,なし,1
1376,037712364,予約,なし,1
1377,037722036,予確済,あり,1
1378,037722036,予約,あり,1
1379,037722036,予約,なし,1
1380,037722162,予確済,なし,1
1381,037722162,変更取消,なし,1
1382,037722193,予確済,なし,1
1383,037722193,変更取消,なし,1
1384,037722223,予確済,なし,2
1385,037722223,予約,なし,1
1386,037752113,予確済,なし,2
1387,037812338,予確済,あり,1
1388,037812338,予約,なし,1
1389,037812338,変更取消,なし,1
1390,037812339,予確済,なし,2
1391,037812339,予約,なし,1
1392,037812340,予確済,なし,3
1393,037812340,予約,なし,1
1394,037812342,予確済,なし,1
1395,037812342,予約,なし,1
1396,037852178,予確済,なし,1
1397,037852188,予確済,なし,3
1398,037852188,予約,なし,1
1399,037852190,予確済,なし,2
1400,037912094,予確済,なし,2
1401,037912094,予約,なし,1
1402,038112165,予確済,なし,1
1403,038112292,予確済,なし,1
1404,038112292,予約,なし,1
1405,038122056,予確済,なし,1
1406,038122056,取消,なし,1
1407,038122056,変更取消,なし,2
1408,038122447,予確済,なし,1
1409,038122464,予確済,なし,1
1410,038122465,予確済,なし,1
1411,038152182,予確済,なし,1
1412,038152257,予約,なし,1
1413,038152458,予確済,なし,1
1414,038152458,予約,なし,1
1415,038152459,予確済,なし,1
1416,038152460,予確済,なし,2
1417,038152460,予約,なし,1
1418,038152462,予確済,なし,1
1419,038212162,予確済,なし,1
1420,038212162,予約,なし,1
1421,038212241,予約,なし,1
1422,038212353,予約,なし,1
1423,038212356,予確済,なし,2
1424,038212356,予約,あり,1
1425,038222156,予確済,なし,1
1426,038222165,予確済,なし,1
1427,038222166,予確済,なし,1
1428,038232074,予確済,なし,1
1429,038232131,予確済,なし,1
1430,038312306,予確済,なし,1
1431,038312306,予約,なし,1
1432,038312332,予確済,なし,1
1433,038312333,予確済,なし,1
1434,038312334,予約,なし,1
1435,038322057,予確済,なし,1
1436,038322198,予約,なし,1
1437,038322218,予確済,なし,1
1438,038322218,予約,なし,1
1439,038332200,予確済,なし,1
1440,038332200,取消,なし,1
1441,038332200,変更取消,なし,1
1442,038332202,予確済,なし,1
1443,038332202,予約,なし,1
1444,038342029,予確済,なし,1
1445,038342029,変更取消,なし,1
1446,038412429,予確済,なし,1
1447,038412441,予確済,なし,2
1448,038412442,予確済,なし,1
1449,038412442,予約,なし,1
1450,038422032,予確済,なし,1
1451,038422032,予約,なし,1
1452,038422032,変更取消,なし,1
1453,038512293,予確済,なし,2
1454,038512293,予約,なし,1
1455,038522047,予確済,なし,1
1456,038552055,予確済,なし,1
1457,038612102,予確済,なし,1
1458,038612200,予確済,なし,1
1459,038612200,取消,なし,1
1460,038612237,予確済,なし,1
1461,038632142,予確済,なし,1
1462,038632186,予確済,なし,1
1463,038632186,予約,なし,1
1464,038632190,仮予約,なし,1
1465,038632190,変更取消,なし,1
1466,038642006,予確済,なし,1
1467,038652081,予確済,なし,1
1468,038712150,予約,なし,2
1469,038722183,予確済,なし,1
1470,038732072,予約,あり,1
1471,038732074,予確済,なし,1
1472,038812024,予確済,なし,1
1473,038812024,予約,あり,1
1474,038812024,変更取消,なし,1
1475,038812272,予約,なし,1
1476,038812289,予約,なし,1
1477,038912096,予約,なし,1
1478,038912098,予確済,なし,1
1479,038912098,予約,なし,1
1480,038912098,取消,なし,1
1481,038912098,変更取消,なし,1
1482,038912099,予確済,なし,1
1483,038912099,変更取消,なし,1
1484,039112075,予約,なし,1
1485,039122064,予約,なし,1
1486,039122146,予約,なし,1
1487,039152023,予約,なし,1
1488,039152121,予確済,なし,1
1489,039152121,予約,なし,1
1490,039152125,予約,なし,1
1491,039152139,予約,なし,5
1492,039212097,予確済,なし,1
1493,039212111,予約,なし,3
1494,039252079,予確済,なし,1
1495,039252079,予約,なし,3
1496,039252081,予確済,なし,1
1497,039252081,予約,なし,3
1498,039312062,予確済,なし,1
1499,039312101,予確済,なし,1
1500,039412094,予確済,なし,1
1501,039432023,予確済,なし,1
1502,039432036,予確済,なし,1
1503,039432036,予約,なし,2
1504,039512061,予約,なし,1
1505,039612071,予約,なし,1
1506,039622005,取消,なし,1
1507,039622037,予確済,なし,1
1508,039622037,予約,なし,1
1509,039722049,予確済,あり,1
1510,039722049,予約,なし,1
1511,040122266,予確済,なし,2
1512,040132109,予約,あり,1
1513,040132109,予約,なし,1
1514,040132111,予確済,なし,1
1515,040152277,予確済,なし,1
1516,040152277,予約,あり,1
1517,040222047,予確済,なし,2
1518,040222047,予約,あり,1
1519,040222047,予約,なし,2
1520,040322125,予確済,なし,1
1521,040322125,予約,あり,1
1522,040322125,予約,なし,1
1523,040512187,予確済,なし,1
1524,040512187,予約,あり,1
1525,040512189,予確済,なし,1
1526,040612125,予約,あり,1
1527,040622068,予確済,なし,1
1528,040712153,予確済,なし,1
1529,040722016,予確済,なし,1
1530,040722016,予約,なし,1
1531,040852086,予確済,あり,1
1532,040852086,予確済,なし,1
1533,040852086,予約,あり,1
1534,041222016,予確済,なし,2
1535,041222016,予約,なし,3
1536,041432012,予確済,なし,1
1537,042122036,予確済,なし,1
1538,042332012,予確済,なし,2
1539,042432025,予確済,なし,1
1540,042452011,予確済,あり,1
1541,042452011,予約,なし,1
1542,042812075,予確済,なし,1
1543,043132010,予確済,あり,1
1544,043132010,予約,なし,1
1545,043132034,予約,なし,1
1546,043142019,予確済,なし,1
1547,043152122,予確済,なし,2
1548,043152137,予確済,なし,2
1549,043152137,予約,なし,1
1550,043152137,変更取消,なし,1
1551,043212095,予確済,なし,1
1552,043212095,変更取消,なし,3
1553,043212102,予確済,なし,1
1554,043312089,予確済,なし,1
1555,043332042,予確済,あり,1
1556,043332042,予約,あり,1
1557,043332042,取消,あり,1
1558,043332052,予確済,なし,2
1559,043332052,予約,なし,1
1560,043432021,予確済,なし,1
1561,043512057,予確済,なし,1
1562,043512057,変更取消,なし,1
1563,043512097,予確済,なし,3
1564,043512097,予約,なし,1
1565,043512097,取消,なし,1
1566,043522030,予確済,なし,1
1567,043612059,予確済,なし,2
1568,043612059,予約,なし,1
1569,043612059,変更取消,なし,1
1570,043622028,予確済,なし,1
1571,043632041,予確済,なし,1
1572,043632057,予確済,なし,1
1573,043632057,取消,なし,1
1574,043912028,予確済,なし,3
1575,043912028,変更取消,なし,1
1576,044222005,予確済,なし,1
1577,044232094,予確済,なし,1
1578,044252063,予約,なし,1
1579,044252070,予確済,なし,1
1580,044252071,予確済,なし,1
1581,044252072,予確済,なし,1
1582,044252072,仮予約,なし,1
1583,044252072,取消,なし,1
1584,044312069,予確済,なし,2
1585,044312069,予約,なし,1
1586,044312090,予確済,なし,1
1587,044522035,予確済,なし,1
1588,044552022,予確済,なし,1
1589,044552022,変更取消,なし,1
1590,044632065,予確済,なし,2
1591,044732009,予確済,なし,1
1592,044732009,予約,なし,1
1593,044752036,予約,なし,1
1594,044812085,予確済,なし,2
1595,044912041,予確済,なし,2
1596,044912041,予約,なし,1
1597,045112010,予確済,なし,1
1598,045112043,予確済,なし,1
1599,045112185,予確済,なし,1
1600,045112185,予約,なし,1
1601,045112185,変更取消,なし,1
1602,045112186,予約,なし,1
1603,045112187,予確済,なし,1
1604,045112187,予約,なし,1
1605,045122095,予確済,なし,1
1606,045122226,予確済,なし,1
1607,045122321,予確済,なし,1
1608,045132018,予確済,なし,1
1609,045152111,予約,あり,1
1610,045152253,予約,なし,1
1611,045152269,予確済,なし,1
1612,045152270,予確済,なし,1
1613,045152270,予約,なし,1
1614,045152298,予確済,なし,1
1615,045212078,予約,なし,1
1616,045212133,予確済,なし,1
1617,045212133,予約,なし,1
1618,045222017,予約,なし,1
1619,045222075,予約,なし,1
1620,045252172,予確済,なし,1
1621,045252179,予確済,なし,1
1622,045252179,予約,なし,1
1623,045312051,予確済,なし,1
1624,045312184,予確済,なし,1
1625,045312245,予確済,なし,1
1626,045312245,予約,なし,1
1627,045322022,予確済,なし,1
1628,045322136,予確済,なし,1
1629,045322142,予約,なし,1
1630,045412012,予約,なし,1
1631,045412179,予確済,なし,1
1632,045412260,予約,なし,1
1633,045412273,予確済,なし,2
1634,045412273,予約,なし,1
1635,045452057,予約,なし,1
1636,045452062,予確済,なし,1
1637,045452062,予約,なし,1
1638,045452063,予約,なし,1
1639,045512079,予約,なし,1
1640,045512079,変更取消,なし,1
1641,045612049,予確済,なし,1
1642,045612049,予約,なし,1
1643,045612132,予約,なし,1
