,顧客ID,状況,指名区分,予約回数
2938,096150053,予確済,なし,1
2939,096150054,予約,あり,1
2940,096220026,予約,あり,1
2941,096230025,仮予約,なし,1
2942,096310035,予約,あり,1
2943,096310064,予確済,なし,1
2944,096310066,予確済,なし,1
2945,096310067,予確済,なし,1
2946,096310067,予約,あり,1
2947,096410010,予約,あり,1
2948,096410069,予約,あり,1
2949,096410072,予確済,あり,1
2950,096410072,予約,あり,2
2951,096430001,予確済,なし,1
2952,096430001,予約,なし,1
2953,096510044,予約,あり,1
2954,096620004,予約,あり,1
2955,096620022,予確済,なし,1
2956,096620022,予約,あり,1
2957,096720001,予約,あり,1
2958,096720018,予確済,あり,1
2959,096720018,予約,あり,1
2960,096850028,予約,あり,1
2961,096850032,予確済,なし,1
2962,097110005,予確済,なし,1
2963,097130002,予確済,なし,1
2964,097130002,取消,なし,1
2965,097130002,変更取消,なし,1
2966,097150007,予確済,なし,1
2967,097750003,予確済,なし,1
2968,098152044,予確済,なし,1
2969,098152045,予確済,なし,1
2970,098152045,仮予約,なし,1
2971,098812024,予確済,なし,3
2972,098812024,仮予約,なし,1
2973,098812024,変更取消,なし,1
2974,099110063,予約,なし,1
2975,099110065,予確済,なし,1
2976,099110065,予約,なし,4
2977,099120061,予約,なし,1
2978,099120177,予約,なし,4
2979,099120179,予確済,なし,2
2980,099120179,変更取消,なし,1
2981,099150055,予約,なし,1
2982,099220026,予確済,なし,1
2983,099310013,予確済,なし,1
2984,099310013,予約,なし,1
2985,099310143,予約,なし,2
2986,099310146,予確済,なし,2
2987,099330062,予確済,なし,1
2988,099330084,予確済,なし,1
2989,099410018,予約,なし,1
2990,099430024,予確済,なし,1
2991,099610047,予確済,なし,1
2992,099610047,仮予約,なし,1
2993,099610047,変更取消,なし,2
2994,099610050,予確済,なし,2
2995,099610050,予約,なし,4
2996,099620029,予確済,なし,1
2997,099630021,予約,なし,2
2998,099630046,予約,なし,1
2999,099650011,予確済,なし,1
3000,099650011,予約,なし,4
3001,099720005,予約,なし,2
3002,099720043,予確済,なし,1
3003,099750004,予約,なし,1
3004,099750036,予確済,なし,1
3005,100720012,予確済,なし,1
3006,101110050,予確済,なし,1
3007,101110050,予約,なし,3
3008,101120011,予約,なし,1
3009,101120078,予確済,なし,1
3010,101120078,予約,なし,1
3011,101120078,取消,なし,1
3012,101150075,予確済,なし,1
3013,101250049,予約,なし,1
3014,101250054,予確済,なし,1
3015,101250054,取消,なし,1
3016,101250057,予確済,あり,1
3017,101250057,変更取消,あり,1
3018,101310047,予約,なし,1
3019,101310070,予約,なし,1
3020,101320031,予約,なし,1
3021,101410031,予約,なし,1
3022,101510004,予確済,なし,1
3023,101540004,予確済,なし,1
3024,101540004,取消,なし,1
3025,101630021,予約,なし,1
3026,102140004,予約,なし,1
3027,102210028,予約,なし,2
3028,102210068,予約,なし,1
3029,102250008,予約,なし,1
3030,102310030,予約,なし,1
3031,102330003,予約,なし,1
3032,102410055,予約,なし,1
3033,102410057,予確済,なし,1
3034,102410058,予約,なし,1
3035,102410059,予確済,なし,1
3036,102410059,予約,なし,1
3037,102440002,予約,なし,1
3038,102510017,予確済,なし,1
3039,102510017,予約,なし,1
3040,102510038,予約,なし,1
3041,102510063,予確済,なし,1
3042,102510063,予約,なし,1
3043,102550010,予確済,なし,1
3044,102550010,予約,なし,1
3045,102710030,予約,なし,1
3046,102720011,予約,なし,1
3047,102810023,予約,なし,1
3048,102810049,仮予約,なし,1
3049,102810049,変更取消,なし,1
3050,102850013,予約,なし,1
3051,104150286,予約,なし,2
3052,104150286,変更取消,なし,2
3053,104410075,予約,なし,1
3054,104410075,変更取消,なし,1
3055,104510039,予確済,なし,1
3056,104510039,変更取消,なし,1
3057,104710127,予確済,なし,1
3058,104730024,予確済,なし,1
3059,104730024,変更取消,なし,1
3060,108140003,予確済,なし,1
3061,108140003,予約,なし,3
3062,108150001,予確済,なし,1
3063,108150001,予約,なし,2
3064,108150037,予確済,なし,1
3065,108250022,予約,なし,1
3066,108310018,予確済,なし,1
3067,108410069,予確済,なし,1
3068,108410069,予約,あり,1
3069,108410069,予約,なし,1
3070,108610010,仮予約,なし,1
3071,108610010,変更取消,なし,1
3072,108630017,予確済,なし,1
3073,108630017,予約,なし,1
3074,108710020,予確済,なし,1
3075,108810007,予約,なし,1
3076,109110062,予約,なし,1
3077,109130019,予確済,なし,1
3078,109130019,取消,なし,1
3079,109230052,予確済,なし,1
3080,109310083,予確済,なし,3
3081,109310083,予約,なし,1
3082,109330041,予確済,なし,1
3083,109330041,予約,なし,2
3084,109330041,変更取消,なし,1
3085,109410137,予確済,なし,1
3086,109410137,取消,なし,1
3087,109510135,予約,なし,1
3088,109620063,予確済,なし,1
3089,109620063,予約,なし,1
3090,109750050,予確済,なし,1
3091,110120047,予確済,なし,2
3092,110120047,予約,なし,1
3093,110130008,予約,なし,1
3094,110220002,予約,なし,1
3095,111110024,予約,なし,1
3096,111120006,予約,なし,1
3097,111120034,予約,なし,1
3098,111130008,予確済,なし,1
3099,111130008,予約,なし,1
