,顧客ID,指名回数,コース受諾回数,紹介カード受渡回数,治療送客回数,院長挨拶回数,施術時間
10945,120120201,なし,あり,なし,なし,なし,
10950,120120207,なし,なし,あり,なし,なし,
10951,120120207,なし,あり,なし,なし,なし,
10955,120120207,なし,なし,なし,なし,なし,
10962,120130062,なし,なし,あり,なし,なし,
10964,120150075,なし,なし,なし,なし,なし,
10965,120150104,あり,あり,あり,あり,あり,
10972,120150120,なし,なし,なし,なし,なし,
10974,120150189,なし,なし,なし,なし,なし,
10976,120150189,なし,なし,なし,なし,なし,
10977,120150192,なし,あり,あり,なし,なし,
10985,120150192,なし,なし,なし,なし,なし,
10988,120150193,なし,あり,あり,なし,なし,
10995,120210098,なし,あり,あり,なし,あり,
10999,120210132,なし,なし,なし,なし,なし,
11000,120210150,なし,なし,なし,なし,なし,
11001,120210163,なし,なし,なし,なし,なし,
11008,120220074,なし,なし,あり,なし,なし,
11010,120220078,なし,なし,なし,なし,なし,
11015,120220078,なし,なし,なし,なし,なし,
11016,120220078,なし,なし,なし,なし,なし,
11017,120220078,なし,あり,なし,なし,なし,
11021,120230051,なし,あり,なし,なし,なし,
11026,120250136,なし,なし,あり,なし,なし,
11029,120250136,なし,なし,なし,なし,なし,
11030,120250136,なし,あり,なし,なし,なし,
11033,120250136,なし,なし,なし,なし,なし,
11039,120310157,なし,なし,なし,なし,なし,
11040,120310162,なし,なし,なし,あり,なし,
11045,120320089,なし,あり,なし,なし,なし,
11051,120320098,なし,なし,なし,なし,なし,
11054,120320098,なし,なし,なし,なし,なし,
11055,120330084,なし,なし,なし,なし,なし,
11057,120330084,なし,なし,なし,なし,なし,
11059,120410116,なし,なし,なし,なし,なし,
11061,120410116,なし,なし,なし,なし,なし,
11063,120410123,なし,あり,なし,なし,なし,
11070,120410151,なし,なし,なし,なし,なし,
11073,120410160,なし,あり,なし,なし,なし,
11078,120410185,なし,あり,なし,なし,なし,
11085,120410200,なし,なし,あり,なし,なし,
11087,120410202,なし,なし,なし,なし,なし,
11093,120410206,なし,なし,あり,なし,なし,
11094,120430026,あり,なし,なし,なし,なし,
11099,120510031,なし,あり,なし,なし,なし,
11110,120510065,なし,なし,なし,なし,なし,
11112,120510065,なし,なし,あり,なし,なし,
11121,120510129,なし,あり,なし,なし,なし,
11125,120520045,なし,なし,なし,なし,なし,
11126,120630022,あり,あり,なし,なし,なし,
11130,120710094,なし,なし,なし,なし,なし,
11131,120720016,なし,あり,あり,なし,なし,
11135,120720065,なし,なし,なし,なし,なし,
11137,120720087,なし,あり,あり,なし,なし,
11143,120720087,なし,なし,あり,なし,なし,
11148,120730016,なし,あり,あり,なし,なし,
11155,120730037,なし,なし,なし,なし,なし,
11157,120730037,なし,なし,あり,あり,なし,
11159,120750034,なし,なし,なし,なし,なし,
11160,120810052,なし,あり,なし,なし,なし,
11170,120810117,なし,なし,なし,なし,なし,
11173,120810120,なし,あり,あり,なし,なし,
11181,120810120,なし,なし,なし,なし,なし,
11185,120910050,なし,あり,あり,なし,なし,
11190,120910050,なし,なし,なし,なし,なし,
11191,121120044,なし,なし,なし,なし,なし,
11192,121130009,なし,なし,あり,なし,あり,
11194,121150040,なし,なし,なし,なし,なし,
11196,121210033,なし,なし,あり,なし,あり,
11197,121220016,あり,なし,なし,なし,なし,
11200,121220018,なし,なし,あり,なし,なし,
11203,121410048,なし,なし,なし,なし,なし,
11204,121410050,なし,なし,なし,なし,なし,
11205,121410050,なし,あり,なし,なし,なし,
11208,121750015,なし,なし,あり,なし,あり,
11211,122120074,なし,なし,なし,なし,なし,
11213,122150012,あり,なし,なし,なし,なし,
11216,122250074,なし,なし,なし,なし,なし,
11221,122310020,なし,なし,なし,なし,なし,
11224,122410058,なし,なし,なし,なし,なし,
11227,122410058,なし,なし,なし,なし,なし,
11234,122410059,なし,あり,なし,なし,なし,
11236,122410059,なし,なし,なし,なし,なし,
11242,122410059,なし,なし,なし,なし,なし,
11245,122610014,なし,なし,なし,なし,なし,
11248,122620011,なし,あり,なし,なし,なし,
11252,122620014,なし,なし,なし,なし,なし,
11253,122640001,なし,なし,なし,なし,なし,
11254,123710005,なし,なし,あり,なし,なし,
11256,124210082,なし,なし,なし,なし,なし,
11259,124220038,なし,なし,なし,なし,なし,
11261,124220038,なし,なし,なし,なし,なし,
11264,124250072,なし,なし,なし,なし,なし,
11265,124250075,なし,あり,なし,なし,なし,
11269,124250075,なし,なし,なし,なし,なし,
11277,124250075,なし,なし,なし,なし,なし,
11279,124250075,なし,なし,なし,なし,なし,
11281,124310044,なし,なし,なし,なし,なし,
11283,124320039,なし,なし,なし,なし,なし,
11284,124320053,なし,なし,なし,なし,なし,
11286,124320053,なし,なし,なし,なし,なし,
11289,124330015,なし,なし,なし,なし,なし,
11292,124340006,なし,なし,なし,なし,なし,
11297,124410105,なし,あり,なし,なし,なし,
11301,124410105,なし,なし,なし,なし,なし,
11308,124410116,なし,なし,なし,なし,なし,
11312,124430012,なし,なし,なし,なし,なし,
11315,124520010,なし,なし,なし,なし,なし,
11316,124620033,なし,あり,なし,なし,なし,
11320,124620033,なし,なし,なし,なし,なし,
11322,124630071,なし,あり,なし,なし,なし,
11324,124630073,なし,あり,なし,なし,なし,
11327,124630073,なし,なし,なし,なし,なし,
11328,124630073,なし,なし,なし,なし,なし,
11329,124630073,なし,なし,なし,なし,なし,
11331,124650013,なし,なし,なし,なし,なし,
11332,124730015,なし,なし,なし,なし,なし,
11340,124730015,なし,なし,なし,なし,なし,
11341,124810093,なし,なし,なし,なし,なし,
11344,124810100,なし,あり,なし,なし,なし,
11348,124810101,なし,なし,なし,なし,なし,
11350,125630015,なし,あり,なし,なし,なし,
11355,125650018,なし,なし,なし,なし,なし,
11358,125650018,なし,なし,なし,なし,なし,
11360,125810032,なし,なし,なし,なし,なし,
11362,126150020,なし,なし,あり,なし,あり,
11363,126220006,なし,なし,あり,なし,あり,
11364,126320005,なし,なし,なし,なし,あり,
11367,126320005,なし,なし,あり,なし,あり,
11368,126330010,なし,なし,あり,なし,あり,
11370,126510007,なし,なし,なし,なし,あり,
11372,126610009,なし,なし,あり,なし,あり,
11374,126610011,なし,あり,あり,なし,あり,
11379,126610011,なし,なし,あり,なし,あり,
11387,126630013,なし,なし,あり,なし,あり,
11388,126720005,なし,なし,なし,なし,なし,
11389,126730001,なし,あり,あり,なし,あり,
11394,126810014,なし,なし,なし,なし,あり,
11395,126810014,なし,なし,あり,なし,あり,
11396,126850010,なし,なし,なし,なし,なし,
11397,127150042,なし,なし,なし,なし,なし,
11398,127150049,なし,あり,なし,なし,なし,
11400,127150069,なし,なし,なし,なし,なし,
11402,127310033,なし,なし,なし,なし,なし,
11404,127320039,なし,なし,なし,なし,なし,
11405,127320039,なし,なし,なし,なし,なし,
11407,127450002,なし,あり,あり,なし,なし,
11411,127510003,なし,なし,なし,なし,なし,
11413,128110003,なし,なし,なし,なし,なし,
11418,128120046,なし,なし,なし,なし,なし,
11421,128120050,なし,なし,なし,なし,なし,
11425,128120052,なし,あり,なし,なし,なし,
11429,128120052,なし,なし,なし,なし,なし,
11433,128120052,なし,なし,なし,なし,なし,
11435,128210026,なし,なし,なし,なし,なし,
11439,128230011,なし,なし,なし,なし,なし,
11445,128250005,なし,なし,なし,なし,なし,
11448,128250028,なし,なし,なし,なし,なし,
11451,128310013,なし,なし,なし,なし,なし,
11455,128610020,なし,なし,あり,なし,なし,
11457,128810026,なし,あり,なし,なし,なし,
11463,129210051,なし,なし,あり,なし,あり,
11468,129310032,あり,なし,あり,なし,なし,
11470,129310035,なし,なし,あり,なし,あり,
11473,129320003,なし,なし,なし,なし,なし,
11480,129340007,なし,なし,あり,なし,あり,
11483,129350002,なし,なし,あり,なし,あり,
11488,129410023,あり,あり,あり,なし,あり,
11496,129410037,あり,なし,あり,あり,あり,
11498,129410056,なし,なし,あり,なし,あり,
11503,129410056,なし,なし,なし,なし,あり,
11506,129550007,あり,なし,あり,あり,あり,
11507,131120010,なし,なし,なし,なし,なし,
11509,131150001,なし,なし,なし,なし,なし,
11514,131150008,なし,なし,なし,なし,なし,
11517,131230012,なし,なし,なし,なし,なし,
11524,131230012,なし,なし,なし,なし,なし,
11527,131310029,なし,あり,なし,なし,なし,
11532,131410003,なし,なし,なし,なし,なし,
11534,131410013,なし,なし,なし,なし,なし,
11536,131410030,なし,なし,なし,なし,なし,
11537,131410030,なし,なし,なし,なし,なし,
11539,131410030,なし,なし,なし,なし,なし,
11540,131510007,なし,なし,なし,なし,なし,
11544,131710020,なし,なし,なし,なし,なし,
11548,131710026,なし,あり,なし,なし,なし,
11551,131720019,なし,なし,なし,なし,なし,
11552,131720019,なし,あり,なし,なし,なし,
11562,131910002,なし,なし,なし,なし,なし,
11564,132110020,あり,なし,なし,なし,なし,
11566,132120012,なし,あり,なし,なし,あり,
11571,132220014,なし,あり,なし,なし,なし,
11576,132230022,なし,なし,なし,なし,なし,
11577,132230022,なし,なし,なし,なし,なし,
11578,132320011,なし,なし,なし,なし,なし,
11579,132330014,なし,なし,なし,なし,なし,
11581,132410036,なし,なし,なし,なし,なし,
11582,132620013,なし,なし,なし,なし,なし,
11584,132620024,あり,なし,なし,なし,なし,
11586,132720014,なし,なし,なし,なし,なし,
11587,132810001,なし,なし,なし,なし,なし,
11590,132810031,なし,なし,なし,なし,なし,
11592,133330019,なし,あり,なし,なし,なし,
11595,133330019,なし,あり,なし,あり,あり,
11597,133330019,なし,あり,なし,あり,なし,
11601,133410093,なし,なし,なし,なし,なし,
11603,133430024,なし,あり,あり,なし,なし,
11611,133520007,なし,あり,あり,なし,あり,
11614,133520007,なし,なし,あり,なし,なし,
11622,133520028,なし,あり,なし,あり,あり,
11623,133630056,なし,あり,なし,なし,なし,
11627,133650010,なし,なし,なし,なし,あり,
11629,133710052,なし,なし,なし,なし,なし,
11632,133710053,なし,なし,なし,なし,なし,
11634,133710055,なし,なし,なし,なし,なし,
11636,133720019,なし,あり,なし,あり,あり,
11637,134110024,なし,なし,なし,なし,なし,
11638,134110024,なし,あり,あり,なし,あり,
11642,134110028,あり,なし,なし,なし,なし,
11644,134110030,なし,なし,あり,なし,なし,
11651,134120001,なし,なし,あり,なし,あり,
11653,134120073,なし,なし,あり,なし,あり,
11657,134120074,なし,なし,あり,なし,あり,
11658,134310064,なし,あり,あり,なし,あり,
11664,134310064,なし,なし,あり,なし,なし,
11671,134330013,なし,なし,あり,なし,なし,
11674,134410019,なし,なし,あり,なし,あり,
11676,134410035,なし,なし,なし,なし,なし,
11677,134410035,なし,なし,なし,なし,なし,
11679,134410035,なし,なし,あり,なし,なし,
11682,134450001,なし,あり,なし,なし,なし,
11687,134450001,なし,なし,なし,なし,なし,
11688,134510032,なし,なし,あり,なし,あり,
11690,134510033,なし,なし,あり,なし,なし,
11692,134650030,なし,なし,あり,なし,なし,
11696,134720014,あり,なし,あり,なし,なし,
11697,135110036,なし,なし,なし,なし,なし,
11698,135110036,なし,なし,なし,なし,なし,
11702,135110045,なし,なし,なし,なし,なし,
11703,135110045,なし,なし,なし,なし,なし,
11704,135110045,なし,なし,なし,なし,なし,
11705,135110045,なし,なし,なし,なし,なし,
11706,135110045,なし,なし,なし,なし,なし,
11707,135120117,なし,なし,あり,なし,なし,
11709,135120117,なし,なし,なし,なし,なし,
11715,135130073,なし,なし,なし,なし,なし,
11718,135130074,なし,あり,あり,なし,なし,
11721,135130074,なし,なし,なし,なし,なし,
11729,135130076,なし,あり,あり,なし,なし,
11734,135150128,なし,なし,なし,なし,なし,
11736,135210091,あり,なし,なし,なし,なし,
11738,135220046,なし,なし,あり,なし,なし,
11740,135220046,なし,なし,なし,なし,なし,
11741,135320016,なし,なし,なし,なし,なし,
11744,135320069,なし,なし,なし,なし,なし,
11746,135320069,なし,なし,なし,なし,なし,
11747,135320072,なし,なし,なし,なし,なし,
11749,135320072,なし,なし,なし,なし,なし,
11750,135410111,なし,なし,あり,なし,なし,
11752,135410141,なし,なし,なし,なし,なし,
11755,135410149,なし,あり,あり,なし,なし,
11758,135440005,なし,なし,なし,なし,なし,
11759,135450035,なし,なし,あり,なし,なし,
11763,135450035,なし,なし,なし,なし,なし,
11764,135520036,なし,なし,なし,なし,なし,
11767,135520050,なし,なし,なし,なし,なし,
11768,135520050,なし,なし,あり,なし,なし,
11775,135520051,なし,なし,あり,なし,なし,
11776,135550003,なし,なし,なし,なし,なし,
11778,135550016,なし,なし,なし,なし,なし,
11781,135630059,なし,なし,あり,なし,なし,
11783,135710057,なし,なし,あり,なし,なし,
11785,135710066,なし,なし,あり,なし,なし,
11789,135710076,なし,なし,あり,なし,なし,
11791,135710091,なし,なし,あり,なし,なし,
11793,135710091,なし,なし,なし,なし,なし,
11796,135720039,なし,あり,なし,なし,なし,
11801,135810048,なし,なし,なし,なし,なし,
11802,135810069,なし,なし,なし,なし,なし,
11804,135830007,なし,なし,なし,なし,なし,
11805,135910007,なし,なし,なし,なし,なし,
11807,136110026,なし,なし,なし,なし,なし,
11809,136110026,なし,なし,なし,なし,なし,
11810,136110027,なし,なし,なし,なし,なし,
11812,136110028,なし,なし,なし,なし,なし,
11815,136120017,なし,なし,なし,なし,なし,
11819,136120050,なし,なし,なし,なし,なし,
11822,136120060,なし,なし,なし,なし,なし,
11824,136150034,なし,あり,なし,なし,なし,
11830,136150059,なし,あり,あり,なし,あり,
11833,136150059,なし,なし,なし,なし,なし,
11843,136210060,なし,なし,なし,なし,なし,
11845,136220034,なし,なし,あり,なし,なし,
11848,136220034,なし,なし,なし,なし,なし,
11850,136230026,なし,なし,あり,なし,なし,
11855,136310069,なし,なし,なし,なし,なし,
11859,136310076,なし,なし,あり,なし,なし,
11863,136430026,なし,なし,あり,なし,あり,
11864,136510052,あり,なし,なし,なし,なし,
11865,136510053,なし,あり,あり,なし,なし,
11870,136510053,なし,なし,なし,なし,なし,
11880,136510053,なし,なし,なし,なし,なし,
11884,136610001,なし,なし,なし,なし,なし,
11885,136610050,なし,なし,なし,なし,なし,
11888,136610050,なし,なし,なし,なし,なし,
11890,136630029,なし,あり,なし,なし,なし,
11902,136710054,なし,なし,なし,なし,なし,
11904,136710057,なし,なし,なし,なし,なし,
11906,136720043,なし,なし,なし,なし,なし,
11909,136720044,なし,なし,あり,なし,なし,
11910,136720044,なし,なし,なし,なし,なし,
11912,136730014,なし,なし,なし,なし,なし,
11915,136910025,なし,なし,なし,なし,なし,
11918,137130011,なし,あり,あり,なし,なし,
11920,137130011,なし,なし,なし,なし,なし,
11921,137130011,なし,なし,なし,なし,なし,
11922,137150036,なし,なし,なし,なし,なし,
11923,137150045,なし,なし,なし,なし,なし,
11925,137210002,なし,なし,なし,なし,なし,
11926,137210019,なし,なし,なし,なし,なし,
11927,137220017,なし,なし,なし,なし,なし,
11929,137250036,なし,あり,あり,なし,あり,
11932,137250036,なし,なし,あり,なし,あり,
11935,137250036,なし,あり,なし,なし,なし,
11940,137250038,なし,なし,なし,なし,なし,
11942,137330019,なし,なし,なし,なし,なし,
11944,137410021,なし,あり,なし,なし,なし,
11949,137510035,なし,なし,なし,なし,なし,
11950,137510035,なし,なし,なし,なし,なし,
11951,137520008,なし,なし,あり,なし,なし,
11957,137520008,なし,なし,なし,なし,なし,
11963,137610021,なし,なし,あり,なし,なし,
11966,137750002,なし,あり,あり,なし,なし,
11973,137810024,なし,なし,なし,なし,なし,
11981,137810024,なし,なし,なし,なし,なし,
11982,137810024,なし,なし,なし,なし,なし,
11984,137850010,なし,あり,なし,なし,なし,
11988,137850010,なし,なし,なし,なし,なし,
11991,138110010,なし,なし,なし,なし,なし,
11994,138110018,なし,なし,なし,なし,なし,
11995,138110020,なし,なし,なし,なし,なし,
11997,138120027,なし,なし,なし,なし,なし,
11999,138120027,なし,なし,なし,なし,なし,
12000,138120029,なし,なし,あり,なし,なし,
12004,138150033,あり,なし,なし,なし,なし,
12006,138230010,なし,なし,なし,なし,なし,
12008,138230010,あり,なし,なし,なし,なし,
12010,138250015,なし,なし,なし,なし,なし,
12012,138250016,なし,なし,あり,なし,なし,
12015,138310026,なし,なし,なし,なし,なし,
12019,138310026,なし,なし,あり,なし,なし,
12021,138410028,なし,あり,なし,なし,なし,
12024,138430006,なし,なし,あり,なし,なし,
12026,138430006,なし,なし,なし,なし,なし,
12027,138610017,なし,あり,なし,なし,なし,
12031,138610021,なし,あり,あり,なし,なし,
12034,138610021,なし,なし,なし,なし,なし,
12043,138620004,なし,あり,なし,なし,なし,
12047,138710011,なし,なし,あり,なし,なし,
12052,138810007,なし,あり,なし,なし,なし,
12056,138810007,なし,なし,なし,なし,なし,
12059,138910005,なし,なし,なし,なし,なし,
12060,139120032,なし,なし,なし,なし,なし,
12063,139120044,あり,あり,あり,あり,あり,
12066,139120044,あり,あり,なし,あり,あり,
12069,139210049,なし,なし,なし,なし,なし,
12071,139210049,あり,あり,なし,あり,あり,
12072,139210049,あり,あり,あり,あり,あり,
12076,139250024,なし,あり,あり,なし,なし,
12085,139440006,なし,なし,なし,なし,なし,
12088,139520024,なし,なし,あり,なし,あり,
12090,139520025,なし,なし,なし,なし,なし,
12092,139620020,なし,あり,なし,なし,なし,
12096,139620020,あり,あり,あり,なし,なし,
12103,139620020,あり,あり,あり,なし,なし,
12107,139730001,なし,なし,なし,なし,なし,
12109,139810033,なし,なし,なし,なし,なし,
12111,139810033,なし,なし,なし,なし,なし,
12113,140110016,なし,なし,なし,なし,なし,
12114,140110026,なし,なし,なし,なし,なし,
12116,140110027,なし,なし,なし,なし,なし,
12120,140120061,なし,なし,なし,なし,あり,
12122,140150033,なし,なし,なし,なし,あり,
12127,140150033,なし,なし,なし,なし,あり,
12129,140150049,なし,なし,なし,なし,あり,
12131,140150049,なし,なし,なし,なし,なし,
12132,140210032,なし,なし,なし,なし,なし,
12135,140210037,なし,なし,なし,なし,なし,
12143,140210037,なし,なし,なし,なし,なし,
12144,140210039,なし,あり,あり,なし,あり,
12149,140220031,なし,なし,なし,なし,あり,
12152,140220031,なし,なし,なし,なし,なし,
12154,140220032,なし,なし,あり,なし,あり,
12155,140230017,なし,なし,なし,なし,あり,
12164,140230017,なし,なし,なし,なし,なし,
12166,140250032,なし,あり,あり,なし,あり,
12170,140250032,なし,なし,なし,なし,なし,
12178,140410064,なし,なし,なし,なし,あり,
12180,140410064,あり,なし,なし,なし,あり,
12181,140450010,なし,なし,なし,なし,なし,
12183,140510044,なし,なし,なし,なし,あり,
12185,140550013,なし,なし,なし,なし,なし,
12189,140710043,なし,なし,なし,なし,なし,
12191,140720021,なし,なし,なし,なし,あり,
12192,140720023,なし,あり,あり,なし,あり,
12196,140720023,なし,なし,なし,なし,なし,
12203,140850014,なし,あり,あり,なし,あり,
12207,140910004,なし,なし,なし,なし,なし,
12210,141110017,なし,あり,あり,あり,なし,
12217,141120008,なし,なし,なし,なし,なし,
12218,141150023,なし,なし,あり,なし,あり,
12222,141150023,なし,なし,あり,なし,あり,
12227,141150051,なし,なし,なし,なし,あり,
12229,141410048,なし,なし,あり,なし,なし,
12232,141510032,なし,なし,なし,あり,あり,
12233,141610025,なし,なし,あり,なし,なし,
12235,141610026,なし,なし,あり,あり,なし,
12237,141630023,なし,あり,あり,なし,あり,
12243,141630023,なし,なし,あり,なし,なし,
12249,141730004,あり,なし,なし,あり,あり,
12250,141910005,なし,なし,あり,なし,なし,
12254,143110135,なし,なし,あり,なし,なし,
12257,143110147,あり,なし,あり,なし,あり,
12264,143110180,なし,あり,あり,なし,なし,
12271,143110181,なし,あり,あり,なし,なし,
12274,143110181,なし,なし,なし,なし,なし,
12275,143110181,なし,なし,なし,なし,なし,
12276,143120005,なし,なし,なし,なし,なし,
12277,143120033,なし,なし,あり,なし,なし,
12281,143120072,なし,なし,あり,なし,あり,
12284,143120151,なし,なし,あり,なし,なし,
12288,143120214,なし,あり,あり,なし,あり,
12290,143120223,なし,なし,なし,なし,なし,
12292,143120235,なし,なし,あり,なし,なし,
12293,143120240,なし,あり,なし,なし,なし,
12298,143120243,なし,なし,あり,なし,なし,
12301,143120261,なし,なし,あり,なし,なし,
12303,143120264,なし,なし,あり,あり,なし,
12308,143120264,なし,なし,あり,なし,なし,
12311,143120265,なし,なし,あり,なし,なし,
12314,143120265,なし,なし,なし,なし,なし,
12315,143120266,なし,なし,あり,なし,なし,
12316,143120270,なし,なし,あり,なし,なし,
12317,143120273,なし,なし,あり,なし,なし,
12319,143120273,なし,なし,なし,なし,なし,
12321,143120275,なし,なし,あり,なし,なし,
12327,143120275,なし,なし,あり,なし,なし,
12329,143120276,なし,あり,あり,なし,なし,
12331,143120276,なし,なし,なし,なし,なし,
12332,143120277,なし,なし,あり,なし,なし,
12335,143120278,なし,なし,あり,なし,なし,
12338,143130046,なし,なし,なし,あり,あり,
12339,143140009,なし,なし,なし,なし,なし,
12342,143140033,なし,なし,あり,なし,あり,
12348,143140033,なし,なし,なし,なし,なし,
12350,143150179,なし,なし,あり,なし,なし,
12356,143150182,なし,なし,あり,なし,なし,
12358,143150238,なし,あり,なし,なし,なし,
12363,143150259,なし,なし,なし,なし,なし,
12364,143150274,なし,あり,あり,あり,あり,
12372,143150274,なし,なし,あり,なし,あり,
12373,143150277,なし,なし,なし,なし,なし,
12374,143150277,あり,あり,あり,なし,なし,
12376,143150277,なし,なし,なし,なし,なし,
12381,143150278,なし,なし,なし,なし,なし,
12385,143150280,なし,なし,あり,なし,なし,
12388,143150282,なし,なし,なし,なし,なし,
12391,143150282,なし,なし,なし,なし,なし,
12392,143150283,なし,なし,あり,なし,なし,
12395,143210122,なし,なし,なし,なし,なし,
12400,143210143,なし,なし,なし,なし,なし,
12401,143210174,なし,なし,なし,なし,なし,
12402,143210174,なし,なし,あり,なし,なし,
12404,143210198,なし,なし,あり,なし,なし,
12407,143210213,なし,なし,なし,なし,なし,
12409,143210216,なし,なし,あり,なし,なし,
12410,143210216,なし,なし,あり,なし,なし,
12413,143210218,あり,なし,あり,なし,なし,
12415,143210233,なし,なし,あり,なし,あり,
12417,143210233,なし,なし,あり,なし,なし,
12421,143210234,なし,あり,あり,なし,なし,
12428,143210234,なし,なし,あり,なし,なし,
12432,143210235,なし,なし,あり,なし,なし,
12437,143210237,なし,なし,あり,なし,あり,
12440,143210237,なし,なし,なし,なし,なし,
12443,143210239,なし,なし,あり,なし,なし,
12446,143220021,なし,なし,あり,なし,あり,
12449,143220032,なし,なし,あり,なし,なし,
12452,143220070,なし,あり,あり,なし,あり,
12456,143220076,なし,なし,なし,なし,なし,
12460,143220080,なし,なし,あり,なし,なし,
12462,143220081,なし,なし,あり,なし,なし,
12465,143230077,なし,なし,あり,なし,あり,
12466,143240003,なし,なし,なし,なし,なし,
12468,143240003,なし,なし,なし,なし,なし,
12470,143250157,あり,なし,あり,なし,なし,
12471,143250164,なし,なし,なし,なし,なし,
12474,143250168,なし,なし,あり,なし,なし,
12476,143250169,なし,なし,なし,なし,なし,
12478,143250171,なし,あり,あり,なし,なし,
12482,143250171,なし,なし,なし,なし,なし,
12483,143250171,なし,なし,なし,なし,なし,
12484,143250172,なし,なし,なし,なし,なし,
12487,143310050,なし,なし,あり,なし,なし,
12489,143310172,なし,なし,なし,なし,なし,
12490,143310215,なし,なし,なし,なし,なし,
12491,143310222,なし,なし,あり,なし,なし,
12493,143310228,なし,なし,あり,なし,なし,
12495,143310229,なし,なし,なし,なし,なし,
12497,143310230,なし,なし,あり,あり,なし,
12500,143310231,なし,あり,あり,なし,なし,
12503,143310231,なし,なし,あり,なし,なし,
12506,143310232,なし,なし,あり,なし,なし,
12509,143310233,なし,あり,あり,なし,なし,
12511,143310233,なし,なし,なし,なし,なし,
12512,143310233,なし,なし,あり,なし,なし,
12519,143310234,なし,なし,なし,なし,なし,
12525,143310235,なし,あり,あり,なし,なし,
12528,143310236,なし,なし,あり,なし,なし,
12530,143320040,なし,なし,あり,なし,なし,
12537,143320076,なし,あり,あり,なし,なし,
12540,143320092,なし,なし,あり,なし,なし,
12543,143320108,あり,なし,あり,なし,なし,
12545,143320123,なし,なし,あり,なし,なし,
12552,143320123,あり,なし,あり,なし,なし,
12553,143320131,なし,なし,あり,なし,なし,
12556,143320131,なし,なし,なし,なし,なし,
12563,143320131,なし,なし,あり,なし,なし,
12566,143320132,なし,なし,あり,なし,なし,
12570,143320134,なし,あり,あり,なし,あり,
12577,143320134,なし,なし,あり,なし,なし,
12581,143320136,なし,なし,あり,なし,あり,
12584,143330056,なし,なし,あり,なし,なし,
12587,143330104,なし,なし,あり,なし,なし,
12590,143330106,なし,あり,なし,なし,なし,
12593,143330120,なし,あり,あり,なし,なし,
12596,143330120,なし,なし,なし,なし,なし,
12597,143330120,なし,なし,あり,なし,あり,
12599,143330120,なし,なし,あり,なし,あり,
12602,143330123,なし,なし,あり,なし,なし,
12607,143340021,なし,なし,あり,なし,なし,
12608,143350018,なし,あり,あり,なし,なし,
12610,143350018,あり,なし,あり,なし,なし,
12615,143350019,なし,なし,あり,なし,あり,
12618,143410126,なし,なし,なし,なし,なし,
12624,143410132,なし,あり,あり,なし,なし,
12628,143410132,なし,なし,なし,なし,なし,
12629,143410179,なし,なし,なし,なし,なし,
12631,143410204,あり,なし,あり,なし,なし,
12636,143410230,なし,なし,なし,なし,なし,
12637,143410242,なし,なし,あり,なし,なし,
12639,143410255,なし,なし,あり,なし,あり,
12641,143410255,なし,なし,あり,なし,なし,
12642,143410256,あり,なし,あり,なし,なし,
12644,143410257,なし,なし,あり,あり,なし,
12646,143410259,なし,なし,あり,なし,なし,
12649,143410260,なし,あり,あり,なし,なし,
12652,143410260,なし,なし,なし,なし,なし,
12653,143410260,なし,なし,なし,なし,なし,
12658,143410261,なし,なし,あり,なし,なし,
12661,143420015,なし,なし,あり,なし,あり,
12662,143420015,なし,なし,あり,なし,なし,
12664,143430045,なし,なし,あり,なし,なし,
12667,143430045,なし,なし,あり,なし,なし,
12669,143430047,なし,なし,あり,なし,なし,
12672,143440014,なし,なし,あり,なし,なし,
12674,143450021,なし,なし,なし,なし,なし,
12675,143450021,なし,なし,なし,なし,なし,
12676,143450059,なし,なし,なし,なし,なし,
12677,143510150,なし,なし,なし,なし,なし,
12680,143510153,なし,なし,なし,なし,なし,
12682,143510162,なし,あり,あり,なし,なし,
12686,143510162,なし,なし,あり,なし,なし,
12690,143510164,なし,あり,あり,なし,なし,
12694,143510164,なし,なし,なし,なし,なし,
12695,143510164,なし,なし,あり,なし,なし,
12703,143510166,なし,なし,なし,なし,なし,
12706,143520020,あり,なし,あり,あり,なし,
12709,143550015,なし,なし,なし,なし,なし,
12711,143550031,なし,あり,あり,なし,なし,
12714,143550036,なし,なし,あり,なし,なし,
12717,143550036,なし,なし,なし,なし,なし,
12720,143550038,なし,あり,あり,なし,なし,
12723,143550038,なし,なし,なし,なし,なし,
12724,143550038,なし,なし,あり,なし,なし,
12732,143610119,なし,あり,あり,なし,なし,
12737,143610124,あり,あり,あり,なし,なし,
12741,143610133,なし,なし,あり,なし,なし,
12744,143610136,なし,あり,あり,なし,なし,
12748,143610136,なし,なし,なし,なし,なし,
12749,143610136,なし,なし,あり,なし,あり,
12753,143610136,なし,なし,あり,なし,なし,
12756,143610136,なし,なし,なし,なし,なし,
12757,143610138,なし,あり,あり,なし,なし,
12763,143610138,なし,なし,なし,なし,なし,
12767,143620063,なし,なし,なし,なし,なし,
12768,143620063,なし,なし,なし,なし,なし,
12769,143630032,なし,なし,あり,なし,なし,
12770,143630064,なし,なし,あり,なし,なし,
12772,143630103,なし,なし,なし,なし,なし,
12774,143630107,なし,なし,あり,なし,なし,
12776,143630107,なし,なし,なし,なし,なし,
12778,143630108,なし,なし,あり,なし,あり,
12782,143650010,なし,なし,あり,なし,なし,
12785,143650039,なし,なし,なし,なし,なし,
12786,143650039,なし,なし,あり,なし,なし,
