,顧客ID,指名回数,コース受諾回数,紹介カード受渡回数,治療送客回数,院長挨拶回数,施術時間
647,2412885,なし,なし,なし,なし,なし,
648,2412928,なし,あり,なし,なし,なし,
655,2412940,あり,あり,なし,なし,なし,
662,2413004,なし,なし,なし,なし,なし,
665,2413059,なし,なし,なし,なし,なし,
666,2413091,なし,なし,あり,なし,なし,
668,2413092,なし,なし,なし,なし,なし,
669,2413105,なし,あり,あり,なし,なし,
675,2413108,なし,あり,あり,なし,なし,
680,2413119,なし,なし,なし,なし,なし,
682,2413131,なし,なし,なし,なし,なし,
684,2413135,なし,なし,なし,なし,なし,
686,2422108,なし,なし,なし,なし,なし,
690,2432011,なし,なし,なし,なし,なし,
692,2432182,なし,あり,あり,なし,なし,
699,2432208,なし,なし,あり,なし,なし,
702,2451112,なし,なし,なし,なし,なし,
709,2452268,なし,なし,なし,なし,なし,
714,2452268,なし,なし,なし,なし,なし,
715,2512412,なし,あり,あり,なし,なし,
725,2512488,あり,あり,なし,なし,なし,
733,2512657,なし,なし,あり,なし,なし,
734,2512719,なし,なし,あり,なし,なし,
737,2512736,なし,なし,あり,なし,なし,
739,2512736,なし,あり,なし,なし,なし,
741,2512736,なし,なし,なし,なし,なし,
744,2512737,なし,なし,なし,なし,なし,
747,2512737,なし,なし,なし,なし,なし,
748,2522238,なし,なし,あり,なし,なし,
750,2522243,なし,あり,あり,なし,なし,
758,2522243,なし,なし,なし,なし,なし,
761,2522244,なし,なし,あり,なし,なし,
763,2522244,なし,なし,なし,なし,なし,
767,2522245,なし,なし,なし,なし,なし,
768,2552115,なし,なし,あり,なし,なし,
772,2552161,なし,なし,なし,なし,なし,
773,2610121,なし,なし,なし,なし,なし,
778,2612073,なし,なし,なし,なし,なし,
781,2612346,なし,あり,あり,なし,なし,
784,2612541,なし,あり,なし,なし,なし,
791,2612541,なし,なし,なし,なし,なし,
793,2612555,なし,なし,なし,なし,なし,
794,2612568,なし,なし,あり,なし,なし,
797,2612583,なし,なし,なし,なし,なし,
800,2612583,なし,なし,なし,なし,なし,
801,2612606,なし,あり,あり,なし,なし,
808,2612606,なし,なし,なし,なし,なし,
809,2612607,なし,なし,なし,なし,なし,
811,2622078,なし,なし,なし,なし,なし,
815,2630057,なし,なし,あり,なし,なし,
816,2631145,なし,なし,なし,なし,なし,
817,2631152,なし,なし,なし,なし,なし,
819,2631152,なし,なし,なし,なし,なし,
820,2632193,なし,なし,なし,なし,なし,
825,2632193,なし,なし,なし,なし,なし,
828,2632193,なし,なし,なし,なし,なし,
833,2632193,なし,なし,なし,なし,なし,
834,2632206,あり,なし,なし,なし,なし,
842,2632237,なし,なし,なし,なし,なし,
845,2632263,あり,あり,あり,なし,なし,
853,2632279,なし,なし,なし,なし,なし,
856,2632507,なし,なし,あり,なし,なし,
862,2632507,なし,なし,なし,なし,なし,
869,2632517,なし,なし,なし,なし,なし,
870,2632518,なし,なし,あり,なし,なし,
872,2632518,なし,なし,なし,なし,なし,
873,2632519,なし,あり,あり,あり,なし,
877,2632519,なし,なし,なし,なし,なし,
879,2652165,あり,なし,なし,なし,なし,
884,2652252,なし,なし,あり,なし,なし,
886,2652252,なし,あり,なし,なし,なし,
889,2652252,なし,なし,あり,なし,なし,
898,2711224,なし,あり,なし,なし,なし,
901,2712524,なし,なし,なし,なし,なし,
904,2712575,なし,なし,なし,なし,なし,
909,2722007,なし,なし,なし,なし,なし,
914,2722349,なし,なし,なし,なし,なし,
915,2722349,あり,なし,なし,なし,なし,
919,2722379,なし,なし,なし,なし,なし,
922,2722424,なし,あり,なし,なし,なし,
927,2722451,なし,なし,なし,なし,なし,
934,2722485,なし,あり,なし,なし,なし,
938,2752182,なし,なし,あり,なし,なし,
943,2752219,あり,あり,なし,なし,なし,
949,2752219,あり,なし,なし,なし,なし,
951,2752281,なし,なし,なし,なし,なし,
952,2812133,なし,なし,なし,なし,なし,
954,2812166,なし,なし,なし,なし,なし,
955,2812277,なし,なし,なし,なし,なし,
960,2812718,なし,なし,なし,なし,なし,
962,2812725,なし,なし,なし,なし,なし,
963,2812729,なし,なし,なし,なし,なし,
964,2812738,なし,なし,あり,なし,なし,
969,2812738,なし,なし,なし,なし,なし,
972,2812739,なし,あり,あり,なし,なし,
979,2812739,なし,なし,なし,なし,なし,
982,2812740,なし,あり,あり,なし,なし,
990,2852125,なし,なし,なし,なし,なし,
995,2852169,なし,あり,なし,なし,なし,
1003,2852345,なし,なし,なし,なし,なし,
1004,2852364,なし,なし,なし,なし,なし,
1006,2852368,なし,なし,あり,あり,なし,
1007,2852368,なし,なし,なし,なし,なし,
1008,2852368,なし,あり,なし,なし,なし,
1010,2852369,なし,なし,あり,なし,なし,
1012,2912118,なし,なし,なし,なし,なし,
1013,2912264,なし,あり,なし,なし,なし,
1023,2912282,なし,なし,あり,なし,なし,
1027,2912316,あり,なし,なし,なし,なし,
1030,3112049,あり,なし,あり,なし,あり,
1033,3112049,あり,あり,なし,なし,なし,
1035,3112049,あり,なし,なし,なし,なし,
1036,3112049,あり,あり,なし,なし,あり,
1041,3122063,あり,なし,あり,なし,あり,
1043,3122077,あり,なし,なし,なし,なし,
1044,3122083,なし,なし,なし,なし,あり,
1048,3122090,あり,なし,あり,なし,なし,
1051,3210149,あり,なし,なし,なし,あり,
1053,3222027,なし,なし,なし,なし,なし,
1054,3222028,あり,なし,なし,なし,なし,
1056,3332053,あり,なし,あり,なし,あり,
1057,3342015,あり,なし,あり,なし,あり,
1060,3342015,なし,なし,なし,なし,なし,
1061,3412085,あり,なし,なし,なし,なし,
1064,3452002,なし,なし,なし,なし,なし,
1065,3452010,あり,なし,なし,なし,あり,
1066,3512047,あり,なし,なし,なし,あり,
1069,3632034,あり,なし,あり,なし,あり,
1071,3712033,あり,あり,なし,なし,なし,
1079,3722051,あり,あり,あり,なし,あり,
1083,3722051,あり,あり,なし,なし,なし,
1087,3812035,あり,なし,なし,なし,なし,
1088,3812036,あり,なし,あり,なし,あり,
1089,3812036,あり,なし,なし,なし,なし,
1091,3812036,あり,なし,なし,なし,あり,
1097,4122066,なし,なし,なし,なし,なし,
1101,5111146,なし,なし,なし,なし,なし,
1104,5141032,なし,なし,あり,なし,なし,
1106,5222012,なし,なし,あり,なし,なし,
1108,5332132,なし,なし,なし,なし,なし,
1110,5342037,なし,あり,なし,なし,なし,
1113,5342037,なし,なし,あり,なし,なし,
1121,5411031,あり,あり,あり,なし,なし,
1124,5412116,なし,なし,なし,なし,なし,
1127,5412221,なし,なし,なし,なし,なし,
1130,5511131,あり,なし,あり,なし,なし,
1133,5522020,なし,なし,なし,なし,なし,
1140,5522050,なし,あり,あり,なし,なし,
1149,5652029,なし,なし,あり,なし,なし,
1151,5711086,なし,あり,なし,あり,あり,
1156,5711086,なし,なし,なし,なし,なし,
1162,5752067,なし,なし,あり,なし,なし,
1164,6112072,なし,なし,なし,なし,なし,
1165,6112114,なし,なし,なし,なし,なし,
1168,6112388,なし,なし,あり,なし,なし,
1171,6112396,なし,なし,なし,なし,なし,
1173,6112433,あり,あり,あり,なし,なし,
1178,6112434,なし,あり,あり,なし,なし,
1183,6112434,なし,なし,あり,なし,なし,
1188,6112435,なし,なし,なし,なし,なし,
1189,6112436,なし,なし,あり,なし,なし,
1196,6112436,なし,なし,なし,なし,なし,
1199,6121155,なし,なし,あり,なし,なし,
1201,6122048,あり,あり,なし,なし,なし,
1209,6122048,あり,なし,なし,なし,なし,
1211,6122292,なし,なし,なし,なし,なし,
1213,6122540,なし,なし,なし,なし,なし,
1215,6122540,なし,なし,なし,なし,なし,
1216,6122540,なし,なし,なし,なし,なし,
1218,6122540,なし,なし,なし,なし,なし,
1223,6122540,なし,なし,なし,なし,なし,
1225,6122632,あり,なし,なし,なし,なし,
1227,6122698,あり,なし,なし,なし,なし,
1228,6122735,なし,なし,なし,なし,なし,
1231,6122736,なし,なし,なし,なし,なし,
1236,6122762,なし,あり,あり,あり,なし,
1243,6122762,なし,なし,なし,なし,なし,
1246,6122763,なし,あり,なし,なし,なし,
1253,6122772,なし,なし,あり,なし,なし,
1255,6122773,なし,なし,あり,なし,なし,
1259,6132191,なし,なし,あり,なし,なし,
1264,6132195,なし,なし,あり,なし,なし,
1267,6132195,なし,なし,なし,なし,なし,
1269,6132195,なし,なし,なし,なし,なし,
1272,6141027,なし,なし,なし,なし,なし,
1276,6142101,なし,なし,あり,なし,なし,
1281,6152160,なし,なし,なし,なし,なし,
1285,6152189,なし,なし,あり,なし,なし,
1289,6152195,なし,あり,なし,なし,なし,
1294,6152218,なし,なし,なし,なし,なし,
1297,6152221,なし,あり,なし,なし,なし,
1306,6152301,なし,なし,なし,なし,なし,
1309,6152313,あり,なし,あり,なし,なし,
1314,6152332,なし,なし,なし,なし,なし,
1318,6152517,なし,なし,あり,なし,なし,
1321,6152517,なし,なし,なし,なし,なし,
1322,6152550,なし,あり,あり,なし,なし,
1329,6152550,なし,なし,なし,なし,なし,
1331,6152598,あり,あり,なし,なし,なし,
1342,6152598,なし,なし,なし,なし,なし,
1343,6152598,なし,なし,なし,なし,なし,
1346,6152598,なし,なし,なし,なし,なし,
1347,6152598,なし,なし,なし,なし,なし,
1348,6152634,なし,あり,なし,なし,なし,
1353,6152645,なし,なし,なし,なし,なし,
1355,6152647,なし,なし,なし,なし,なし,
1356,6152658,なし,なし,なし,なし,なし,
1358,6152658,なし,なし,なし,なし,なし,
1361,6152667,なし,あり,あり,なし,なし,
1366,6152668,なし,あり,あり,なし,なし,
1370,6152669,なし,なし,あり,なし,なし,
1380,6152670,なし,あり,あり,なし,なし,
1383,6152671,なし,あり,あり,なし,なし,
1388,6212125,なし,なし,なし,なし,なし,
1389,6212125,なし,なし,なし,なし,なし,
1393,6212125,なし,なし,なし,なし,なし,
1394,6212125,なし,なし,なし,なし,なし,
1400,6212125,なし,なし,なし,なし,なし,
1401,6212125,なし,なし,なし,なし,なし,
1402,6212360,なし,なし,なし,なし,なし,
1404,6212398,なし,なし,なし,なし,なし,
1405,6212467,なし,あり,なし,なし,なし,
1410,6212477,なし,なし,あり,なし,なし,
1414,6212495,なし,なし,なし,なし,なし,
1418,6212514,あり,なし,なし,なし,なし,
1422,6212541,なし,なし,なし,なし,なし,
1424,6212579,なし,あり,あり,なし,なし,
1436,6212589,なし,あり,あり,なし,なし,
1440,6212589,なし,なし,なし,なし,なし,
1448,6212590,なし,なし,なし,なし,なし,
1451,6222235,なし,なし,あり,なし,なし,
1460,6222236,なし,なし,あり,なし,なし,
1464,6232219,なし,なし,なし,なし,なし,
1465,6232219,なし,なし,なし,なし,なし,
1466,6232230,なし,なし,なし,なし,なし,
1468,6232244,なし,なし,なし,あり,なし,
1474,6232260,なし,なし,なし,なし,なし,
1478,6232260,なし,なし,なし,なし,なし,
1482,6232262,なし,なし,あり,なし,なし,
1487,6232262,なし,あり,あり,なし,なし,
1489,6232262,なし,なし,なし,なし,なし,
1499,6232263,なし,なし,あり,なし,なし,
1505,6232263,なし,なし,なし,なし,なし,
1508,6232263,なし,なし,なし,なし,なし,
1511,6252219,あり,あり,あり,なし,なし,
1516,6252378,なし,あり,なし,なし,なし,
1525,6252378,なし,なし,なし,なし,なし,
1526,6252378,なし,なし,なし,なし,なし,
1527,6252382,あり,なし,なし,なし,なし,
1528,6252391,なし,なし,なし,なし,なし,
1532,6312039,なし,なし,なし,なし,なし,
1535,6312116,あり,なし,なし,なし,なし,
1539,6312500,あり,あり,なし,なし,なし,
1545,6312535,なし,なし,なし,なし,なし,
1547,6312535,なし,なし,なし,なし,なし,
1551,6312559,なし,なし,なし,なし,なし,
1554,6312570,なし,なし,あり,なし,なし,
1556,6322157,なし,なし,なし,なし,なし,
1559,6322190,なし,なし,なし,なし,なし,
1561,6322269,なし,なし,なし,なし,なし,
1563,6322270,なし,あり,あり,なし,なし,
1572,6322334,なし,なし,なし,なし,なし,
1575,6322334,なし,なし,なし,なし,なし,
1577,6322338,なし,あり,あり,なし,なし,
1582,6331012,なし,なし,なし,なし,なし,
1586,6332200,あり,なし,なし,なし,なし,
1588,6332288,なし,なし,あり,なし,なし,
1590,6332295,なし,あり,なし,なし,なし,
1599,6342072,なし,なし,あり,なし,なし,
1604,6342084,なし,なし,なし,なし,なし,
1606,6342087,なし,なし,なし,なし,なし,
1611,6412148,なし,なし,あり,なし,なし,
1613,6412148,なし,なし,なし,なし,なし,
1621,6412148,なし,なし,あり,なし,なし,
1623,6412148,なし,なし,なし,なし,なし,
1625,6412148,なし,なし,なし,なし,なし,
1627,6412190,あり,なし,あり,なし,なし,
1629,6412327,なし,なし,あり,なし,なし,
1631,6412555,なし,なし,なし,なし,なし,
1633,6412555,なし,なし,なし,なし,なし,
1634,6412644,なし,あり,なし,なし,なし,
1643,6412644,なし,なし,なし,なし,なし,
1646,6412666,なし,なし,なし,なし,なし,
1648,6412670,なし,なし,なし,なし,なし,
1655,6412670,なし,なし,なし,なし,なし,
1656,6412675,なし,あり,あり,なし,なし,
1658,6412675,なし,なし,なし,なし,なし,
1659,6412675,なし,なし,なし,なし,なし,
1668,6412677,なし,なし,あり,なし,なし,
1675,6412677,なし,なし,なし,なし,なし,
1678,6412678,なし,なし,あり,なし,なし,
1681,6422007,なし,なし,なし,なし,なし,
1685,6422044,なし,あり,なし,なし,なし,
1688,6422044,なし,なし,なし,なし,なし,
1697,6432044,あり,なし,あり,なし,なし,
1700,6432132,なし,なし,あり,なし,なし,
1703,6452035,なし,なし,なし,なし,なし,
1705,6452136,なし,あり,なし,なし,なし,
1714,6452139,あり,なし,なし,なし,なし,
1717,6452139,あり,なし,あり,なし,なし,
1719,6512336,なし,あり,なし,なし,なし,
1726,6512348,なし,なし,なし,なし,なし,
1730,6512415,なし,あり,あり,なし,なし,
1733,6512415,なし,なし,なし,なし,なし,
1739,6522053,なし,なし,なし,なし,なし,
1742,6542018,なし,なし,なし,なし,なし,
1743,6542018,なし,なし,なし,なし,なし,
1745,6542018,なし,なし,なし,なし,なし,
1746,6552073,なし,あり,あり,なし,なし,
1750,6552073,なし,なし,なし,なし,なし,
1758,6552073,なし,なし,なし,なし,なし,
1761,6612107,なし,なし,なし,なし,なし,
1763,6612335,あり,なし,なし,なし,なし,
1767,6612343,なし,なし,なし,なし,なし,
1770,6612346,なし,なし,なし,なし,なし,
1774,6612356,なし,なし,なし,なし,なし,
1777,6621006,なし,なし,あり,なし,なし,
1780,6622158,なし,なし,なし,なし,なし,
1783,6622170,あり,あり,あり,なし,なし,
1789,6622194,なし,あり,なし,なし,なし,
1791,6622194,なし,なし,なし,なし,なし,
1795,6631018,なし,なし,なし,なし,なし,
1796,6632263,あり,あり,あり,なし,なし,
