,顧客ID,商品コード,売上単価,数量,売上,明細ID,スコア
45,1110167,1B2102,0,1,0,150000393271,0
46,1110167,600019,1944,1,1944,150000393272,0
47,1110167,015600031,324,2,648,150000393273,0
48,1120290,5A0014,0,1,0,20001632861,0
49,1120290,1B2203,0,1,0,530000896221,0
50,1120290,300004,540,1,540,530000896222,0
51,1120350,200006,8640,1,8640,60000740121,1
52,1120350,300004,540,1,540,60000740122,0
53,1120350,600090,1404,1,1404,60000740123,0
54,1120350,600065,1047,1,1047,60000740124,0
55,1120350,400021,-864,1,-864,60000740125,0
56,1150376,1B2202,0,1,0,20001631611,0
57,1150376,1B2203,0,1,0,20001631612,0
58,1150376,1B2295,0,1,0,20001631613,0
59,1150376,300004,540,1,540,20001631614,0
60,1150376,1B2201,28080,1,28080,20001631615,4
61,1150376,400543,-2160,2,-4320,20001631616,0
62,1150376,200035,2160,2,4320,20001631617,0
63,1150435,200073,8640,1,8640,530000898141,0
64,1150435,300014,5400,1,5400,530000898142,0
65,1150435,400021,-1728,1,-1728,530000898143,0
66,1310100,200006,8640,1,8640,20001632251,1
67,1310100,200073,8640,1,8640,20001632252,0
68,1310100,300017,3240,1,3240,20001632253,0
69,1310100,300011,2160,1,2160,20001632254,0
70,1310100,600095,2376,1,2376,20001632255,0
71,1321014,200006,8640,1,8640,1430000225961,1
72,1321014,200073,8640,1,8640,1430000225962,0
73,1321014,300013,1080,1,1080,1430000225963,0
74,1511020,1B2102,0,1,0,20001630871,0
75,1511020,300004,540,1,540,20001630872,0
76,1511020,600022,2376,1,2376,20001630873,0
77,1730012,1B2201,28080,1,28080,1430000221561,4
78,1730012,1B2202,0,1,0,1430000221562,0
79,1730012,400543,-2214,2,-4428,1430000221563,0
80,1730012,200035,2160,1,2160,1430000221564,0
81,1730012,300012,2160,1,2160,1430000221565,0
82,1730012,300011,2160,1,2160,1430000221566,0
83,1730012,200082,2268,1,2268,1430000221567,0
84,1730012,1B2203,0,1,0,1430000224471,0
85,1730012,300004,540,1,540,1430000224472,0
86,1811022,T00001,540,1,540,1370000029711,0
87,1811022,200020,10800,1,10800,1370000029712,0
88,1811022,200021,0,1,0,1370000030271,0
89,1811022,200020,10800,1,10800,1370000030272,0
90,2110094,1B2102,0,1,0,20001634751,0
91,2110094,200073,8640,1,8640,20001634752,0
92,2110094,400021,-864,1,-864,20001634753,0
93,2110094,300004,540,1,540,20001634754,0
94,2110175,1B2102,0,1,0,20001629531,0
95,2110175,300017,3240,1,3240,20001629532,0
96,2110175,600090,1404,1,1404,20001629533,0
97,2112136,200071,16200,1,16200,1430000219561,2
98,2112136,1435A0088,710,1,710,1430000219562,0
99,2112136,300011,2160,1,2160,1430000219563,0
100,2112136,300013,1080,1,1080,1430000219564,0
101,2112136,200080,1944,2,3888,1430000219565,0
102,2112136,200081,2052,2,4104,1430000219566,0
103,2112528,200006,8640,1,8640,20001635061,1
104,2112528,400021,-864,1,-864,20001635062,0
105,2112528,300008,3240,1,3240,20001635063,0
106,2112528,600056,810,2,1620,20001635064,0
107,2112548,1B2201,28080,1,28080,1560000026161,4
108,2112548,1B2203,0,1,0,1560000026162,0
109,2112548,1B2209,0,1,0,1560000026163,0
110,2112548,1B2207,0,4,0,1560000026164,0
111,2112548,400543,-2268,2,-4536,1560000026165,0
112,2112548,200082,2268,2,4536,1560000026166,0
113,2112548,300004,540,1,540,1560000026167,0
114,2112548,300011,2160,1,2160,1560000026168,0
115,2112548,1B2295,0,1,0,1560000026169,0
116,2112659,200009,8640,1,8640,20001627841,0
117,2112660,000002,30,1,30,20001628221,0
118,2112660,1A1502,0,1,0,20001636321,0
119,2112676,200032,0,1,0,20001635391,0
120,2112676,1A1501,105840,1,105840,20001635392,5
121,2112676,1A1503,0,1,0,20001635393,0
122,2112676,1A1504,0,1,0,20001635394,0
123,2112676,000002,-10800,1,-10800,20001635395,0
124,2112676,1A1517,0,1,0,20001635396,0
125,2112676,1A1518,0,1,0,20001635397,0
126,2112676,1A1533,0,1,0,20001635398,0
127,2120096,1B2102,0,1,0,1430000221291,0
128,2120096,300004,540,1,540,1430000221292,0
129,2120206,200006,8640,1,8640,20001634771,1
130,2120206,300004,540,1,540,20001634772,0
131,2121269,1B2102,0,1,0,150000393531,0
132,2121295,1B2295,0,1,0,20001634001,0
133,2121295,1B2202,0,1,0,20001634002,0
134,2122338,200071,16200,1,16200,2050000006581,2
135,2122338,300013,1080,1,1080,2050000006582,0
136,2122348,200051,11880,1,11880,20001634781,0
137,2122348,400021,-1188,1,-1188,20001634782,0
138,2122348,1B2203,0,1,0,20001634783,0
139,2122348,300004,540,1,540,20001634784,0
140,2122348,1B1802,0,1,0,20001634785,0
141,2122348,400554,0,1,0,20001634786,0
142,2122348,400560,-123,1,-123,20001634787,0
143,2122348,600058,810,3,2430,20001634788,0
144,2122348,1B1801,38880,1,38880,20001634789,0
145,2122348,600096,2376,1,2376,20001634790,0
146,2122348,600029,1700,1,1700,20001634791,0
147,2122348,600019,1944,1,1944,20001634792,0
148,2122370,200006,8640,1,8640,380000323191,1
149,2122370,300004,540,1,540,380000323192,0
150,2122607,1B2202,0,1,0,20001636461,0
151,2122607,300014,5400,1,5400,20001636462,0
152,2122607,400555,-540,1,-540,20001636463,0
153,2122607,600001,391,5,1955,20001636464,0
154,2122607,053600013,529,1,529,20001636465,0
155,2122607,1B2201,28080,1,28080,20001636466,4
156,2122607,200080,1944,2,3888,20001636467,0
157,2122607,400543,-1944,2,-3888,20001636468,0
158,2122651,5A0014,0,1,0,20001635401,0
159,2122651,5A0028,0,1,0,20001635402,0
160,2122737,200006,8640,1,8640,380000322581,1
161,2122737,300004,540,1,540,380000322582,0
162,2122857,1B2102,0,1,0,60000736941,0
163,2122874,5A0029,0,1,0,20001634371,0
164,2122874,200073,8640,1,8640,20001634381,0
165,2122874,200006,8640,1,8640,20001634382,1
166,2122990,200006,8640,1,8640,1940000026781,1
167,2122990,300004,540,1,540,1940000026782,0
168,2123168,5A0014,0,1,0,20001629081,0
169,2123168,1B2201,28080,1,28080,20001635761,4
170,2123168,200082,2268,2,4536,20001635762,0
171,2123168,400543,-2268,2,-4536,20001635763,0
172,2123168,1B2202,0,1,0,20001635831,0
173,2123168,300011,2160,1,2160,20001635832,0
174,2123168,5A0023,0,1,0,530000900381,0
175,2123189,200073,8640,1,8640,20001635021,0
176,2123189,300011,2160,1,2160,20001635022,0
177,2123189,300012,2160,1,2160,20001635023,0
178,2123189,400021,-1728,1,-1728,20001635024,0
179,2123192,300104,0,1,0,20001627851,0
180,2123192,1B2201,28080,1,28080,20001627852,4
181,2123192,1B2202,0,1,0,20001627853,0
182,2123192,1B2203,0,1,0,20001627854,0
183,2123192,300011,2160,1,2160,20001627855,0
184,2123192,300013,1080,1,1080,20001627856,0
185,2123192,200080,1944,2,3888,20001627857,0
186,2123192,400543,-1944,2,-3888,20001627858,0
187,2123192,600002,391,4,1564,20001627859,0
188,2123192,600096,2376,2,4752,20001627860,0
189,2123192,600095,2376,1,2376,20001627861,0
190,2123192,1B2204,0,4,0,20001627862,0
191,2123228,200071,16200,1,16200,20001628011,2
192,2123228,400021,-3240,1,-3240,20001628012,0
193,2123228,400543,-1944,2,-3888,20001628013,0
194,2123228,200080,1944,2,3888,20001628014,0
195,2123228,1B2205,0,4,0,20001628015,0
196,2123228,1B2201,28080,1,28080,20001628016,4
197,2123228,300013,1080,1,1080,20001628017,0
198,2123228,300011,2160,1,2160,20001628018,0
199,2123244,200073,8640,1,8640,20001637181,0
200,2123244,300011,2160,1,2160,20001637182,0
201,2123244,200080,1944,1,1944,20001637183,0
202,2123261,1B2102,0,1,0,20001631941,0
203,2123272,1A1602,0,1,0,20001629041,0
204,2123295,200049,0,1,0,20001628581,0
205,2123295,200101,16200,1,16200,20001628582,0
206,2123295,200102,0,1,0,20001628583,0
207,2123295,200103,0,1,0,20001630391,0
208,2123295,200104,0,2,0,20001630392,0
209,2123295,200110,0,1,0,20001630393,0
210,2123295,200081,2052,2,4104,20001630394,0
211,2123297,200073,8640,1,8640,20001629331,0
212,2123297,400548,0,1,0,20001629332,0
213,2123297,300014,5400,1,5400,20001629333,0
214,2123298,1A1501,105840,1,105840,20001632841,5
215,2123298,1A1503,0,1,0,20001632842,0
216,2123298,1A1518,0,1,0,20001632843,0
217,2123298,1A1517,0,1,0,20001632844,0
218,2123298,1A1532,0,1,0,20001632845,0
219,2123298,1A1504,0,1,0,20001635801,0
220,2123298,1A1505,0,1,0,20001638511,0
221,2123300,200071,16200,1,16200,20001635851,2
222,2123300,300012,2160,1,2160,20001635852,0
223,2123300,400018,-2160,1,-2160,20001635853,0
224,2132352,200032,0,1,0,20001631581,0
225,2132353,200049,0,1,0,20001637631,0
226,2132353,1A1504,8640,1,8640,20001637632,0
227,2132353,1A1505,0,1,0,20001638921,0
228,2132353,1A1503,0,1,0,20001638922,0
229,2140012,200073,8640,1,8640,20001628271,0
230,2140012,200006,8640,1,8640,20001628272,1
231,2140012,400021,-1728,1,-1728,20001628273,0
232,2140012,300011,2160,1,2160,20001628274,0
233,2140012,300004,540,1,540,20001628275,0
234,2142134,1B2102,0,1,0,20001633991,0
235,2142134,1B2103,0,1,0,20001633992,0
236,2142134,300104,0,1,0,20001633993,0
237,2142152,1A1502,0,1,0,20001632541,0
238,2142152,1A1503,0,1,0,20001632542,0
239,2142152,1A1502,0,1,0,20001637201,0
240,2142152,1A1595,0,1,0,20001637202,0
241,2142152,200081,2052,3,6156,20001637203,0
242,2142152,200080,1944,1,1944,20001637204,0
243,2152059,1B2203,0,1,0,20001638071,0
244,2152059,1B2295,0,1,0,20001638072,0
245,2152059,1B2201,28080,1,28080,20001638073,4
246,2152059,1B2202,0,1,0,20001638074,0
247,2152059,300015,6480,1,6480,20001638075,0
248,2152059,600096,2376,2,4752,20001638076,0
249,2152059,400021,-1296,1,-1296,20001638077,0
250,2152059,600020,2160,2,4320,20001638078,0
251,2152765,1B2209,0,1,0,2090000014611,0
252,2152765,300012,2160,1,2160,2090000014612,0
253,2152833,200006,8640,1,8640,1430000223161,1
254,2152833,143600008,8100,1,8100,1430000223162,0
255,2152833,200080,1944,4,7776,1430000223163,0
256,2152833,400021,-1728,1,-1728,1430000223164,0
257,2152849,1B2201,28080,1,28080,380000322711,4
258,2152849,1B2202,0,1,0,380000322712,0
259,2152923,1B2101,30240,1,30240,20001630441,0
260,2152923,1B2102,0,1,0,20001630442,0
261,2152923,300004,540,1,540,20001630443,0
262,2152923,,0,1,0,20001630451,0
263,2152955,200006,8640,1,8640,20001632571,1
264,2152955,300017,3240,1,3240,20001632572,0
265,2152955,600089,1620,1,1620,20001632573,0
266,2153002,5A0023,32400,1,32400,20001633551,0
267,2153002,5A0028,-3240,1,-3240,20001633552,0
268,2153002,1B2202,0,1,0,20001633561,0
269,2153002,400539,-3240,1,-3240,20001633562,0
270,2153002,300006,3240,1,3240,20001633563,0
271,2153002,300011,2160,1,2160,20001633564,0
272,2153002,300012,2160,1,2160,20001633565,0
273,2153051,1A1602,0,1,0,20001634021,0
274,2153051,600090,1404,1,1404,20001634022,0
275,2153051,600089,1620,1,1620,20001634023,0
276,2153051,1A1606,0,1,0,20001634024,0
277,2153095,200049,0,1,0,280000297631,0
278,2153095,028600032,391,3,1173,280000297632,0
279,2153095,200006,8640,1,8640,280000297633,1
280,2153138,1B2201,28080,1,28080,20001636761,4
281,2153138,1B2202,0,1,0,20001636762,0
282,2153138,1B2205,0,4,0,20001636763,0
283,2153138,300014,5400,1,5400,20001636764,0
284,2153138,400555,-540,1,-540,20001636765,0
285,2153138,200081,2052,2,4104,20001636766,0
286,2153138,400543,-2052,2,-4104,20001636767,0
287,2153138,600095,2376,1,2376,20001636768,0
288,2153142,1A1502,0,1,0,20001634391,0
289,2153142,1A1508,0,2,0,20001634392,0
290,2153142,600089,1620,1,1620,20001634393,0
291,2153166,1A1502,0,1,0,20001636421,0
292,2153166,1A1507,0,1,0,20001636422,0
293,2153173,200049,0,1,0,20001628231,0
294,2153173,200006,8640,1,8640,20001630051,1
295,2153173,400018,-2160,1,-2160,20001630052,0
296,2153174,200101,16200,1,16200,20001628661,0
297,2153174,200102,0,1,0,20001628662,0
298,2153174,400018,-2160,1,-2160,20001628663,0
299,2153174,600096,2376,1,2376,20001628664,0
300,2153174,200103,0,1,0,20001631971,0
301,2153175,200073,8640,1,8640,20001630331,0
302,2153175,300011,2160,1,2160,20001630332,0
303,2153175,400548,0,1,0,20001630333,0
304,2153176,200073,8640,1,8640,20001631961,0
305,2153176,400548,0,1,0,20001631962,0
306,2153176,300011,2160,1,2160,20001631963,0
307,2153177,200071,16200,1,16200,20001634661,2
308,2153177,300006,3240,1,3240,20001634662,0
309,2153177,300011,2160,1,2160,20001634663,0
310,2212263,1B2201,28080,1,28080,1430000220271,4
311,2212263,1B2209,0,1,0,1430000220272,0
312,2212263,300011,2160,1,2160,1430000220273,0
313,2212263,300003,1080,1,1080,1430000220274,0
314,2212263,200301,10800,1,10800,1430000220275,0
315,2212263,400543,-2268,2,-4536,1430000220276,0
316,2212263,200082,2268,2,4536,1430000220277,0
317,2212263,143600002,360,1,360,1430000220278,0
318,2212263,200302,0,1,0,1430000222841,0
319,2212263,200303,0,1,0,1430000222842,0
320,2212263,143600002,360,1,360,1430000222843,0
321,2212366,1B2101,30240,1,30240,20001629261,0
322,2212366,300004,540,4,2160,20001629262,0
323,2212366,002600043,1490,2,2980,20001629263,0
324,2212366,600096,2376,1,2376,20001629264,0
325,2212894,200071,16200,1,16200,1200000289611,2
326,2212967,200101,16200,1,16200,70000144751,0
327,2212967,200102,0,1,0,70000144752,0
328,2212967,200103,0,1,0,70000144881,0
329,2212967,200104,0,2,0,70000144882,0
330,2212967,200110,0,1,0,70000144883,0
331,2212967,200081,2052,1,2052,70000144884,0
332,2212971,300105,0,1,0,20001631621,0
333,2212971,1A1507,0,2,0,20001631622,0
334,2212971,1A1506,0,2,0,20001631623,0
335,2212971,1A1502,0,1,0,20001634591,0
336,2212971,300105,0,1,0,20001634592,0
337,2212971,300105,0,1,0,20001635871,0
338,2212971,1A1506,0,4,0,20001635872,0
339,2212973,1A1502,0,1,0,20001636801,0
340,2212973,600096,2376,1,2376,20001636802,0
341,2212973,600002,391,1,391,20001636803,0
342,2212973,1A1507,0,1,0,20001636804,0
343,2212976,200049,0,1,0,20001631631,0
344,2212976,1A1501,105840,1,105840,20001631632,5
345,2212976,1A1504,0,1,0,20001631633,0
346,2212976,1B2201,28080,1,28080,20001631634,4
347,2212976,1B2274,-10800,1,-10800,20001631635,0
348,2212976,1A1517,0,1,0,20001631636,0
349,2212976,1A1518,0,1,0,20001631637,0
350,2212976,1A1532,0,1,0,20001631638,0
351,2212976,1A1505,0,1,0,20001634701,0
352,2212976,1A1503,0,1,0,20001634702,0
353,2212976,1A1506,0,1,0,20001634703,0
354,2212978,200073,8640,1,8640,20001632661,0
355,2212978,300012,2160,1,2160,20001632662,0
356,2212978,200006,8640,1,8640,20001638001,1
357,2212978,300011,2160,1,2160,20001638002,0
358,2212978,200073,8640,1,8640,20001638003,0
359,2212978,200073,8640,1,8640,1430000225021,0
360,2212978,300012,2160,1,2160,1430000225022,0
361,2212979,200049,0,1,0,20001635461,0
362,2212979,1A1632,8640,1,8640,20001635462,0
363,2212979,1A1604,0,1,0,20001635463,0
364,2212979,000002,-2160,1,-2160,20001637291,0
365,2212979,1A1601,82080,1,82080,20001637641,3
366,2212979,1A1632,-8640,1,-8640,20001637642,0
367,2212979,1A1605,0,1,0,20001638081,0
368,2212979,1A1606,0,4,0,20001638082,0
369,2212980,200049,0,1,0,20001635041,0
370,2212981,200049,0,1,0,20001637921,0
371,2220105,1B2202,0,1,0,20001635471,0
372,2222176,1B2002,0,1,0,20001627961,0
373,2222176,300017,3240,1,3240,20001627962,0
374,2222195,200073,8640,1,8640,160000640281,0
375,2222195,300011,2160,1,2160,160000640282,0
376,2222307,1B2201,28080,1,28080,550000201091,4
377,2222307,1B2203,0,1,0,550000201092,0
378,2222307,1B2209,0,1,0,550000201093,0
379,2222307,400543,-1944,2,-3888,550000201094,0
380,2222307,200080,1944,2,3888,550000201095,0
381,2222307,300004,540,1,540,550000201096,0
382,2222375,1B2201,28080,1,28080,20001634741,4
383,2222375,300011,2160,1,2160,20001634742,0
384,2222375,1B2209,0,1,0,20001634743,0
385,2222375,200401,5400,1,5400,20001637561,0
386,2222375,600096,2376,1,2376,20001637562,0
387,2222388,1B2209,0,1,0,20001630101,0
388,2222388,300003,1080,1,1080,20001630102,0
389,2222388,300013,1080,1,1080,20001630103,0
390,2222388,600019,1944,1,1944,20001630104,0
391,2222388,1A1506,0,4,0,20001630105,0
392,2222388,1A1595,0,1,0,20001630106,0
393,2222401,200032,0,1,0,20001629451,0
394,2222401,1A1601,82080,1,82080,20001629452,3
395,2222401,1A1604,0,1,0,20001629453,0
396,2222401,1A1603,0,1,0,20001629454,0
397,2222401,1A1605,0,1,0,20001631991,0
398,2222401,1A1606,0,2,0,20001631992,0
399,2222401,1A1607,0,2,0,20001631993,0
400,2232351,200073,8640,1,8640,20001634671,0
401,2232351,300011,2160,1,2160,20001634672,0
402,2232351,400528,-10800,1,-10800,20001634673,0
403,2232369,200073,8640,1,8640,450000352201,0
404,2232369,300014,5400,1,5400,450000352202,0
405,2232369,600018,7179,1,7179,450000352203,0
406,2232369,600012,3024,1,3024,450000352204,0
407,2232369,600001,391,2,782,450000352205,0
408,2232383,1A1703,0,1,0,20001627971,0
409,2232383,1B2201,28080,1,28080,20001627972,4
410,2232383,1A1795,0,1,0,20001627973,0
411,2232386,200073,8640,1,8640,20001632811,0
412,2232386,400548,0,1,0,20001632812,0
413,2232387,1A1501,105840,1,105840,20001635881,5
414,2232387,1B2201,28080,1,28080,20001635882,4
415,2232387,1B2274,-10800,1,-10800,20001635883,0
416,2232387,1A1504,0,1,0,20001635884,0
417,2232387,1A1517,0,1,0,20001635885,0
418,2232387,1A1518,0,1,0,20001635886,0
419,2232387,1A1533,0,1,0,20001635887,0
420,2232387,1A1505,0,1,0,20001638601,0
421,2232388,1A1504,8640,1,8640,20001637261,0
422,2232388,1A1501,105840,1,105840,20001638911,5
423,2232388,000002,-8640,1,-8640,20001638912,0
424,2242010,200071,16200,1,16200,550000202251,2
425,2242010,300011,2160,1,2160,550000202252,0
426,2251012,1B2201,28080,1,28080,110000408411,4
427,2251240,1B2201,28080,1,28080,20001631661,4
428,2251240,1B2203,0,1,0,20001631662,0
429,2251240,300004,540,1,540,20001631663,0
430,2251240,200080,1944,2,3888,20001631664,0
431,2251240,400543,-1944,2,-3888,20001631665,0
432,2251240,600096,2376,1,2376,20001631666,0
433,2252268,200080,1944,4,7776,20001634641,0
434,2252268,600063,648,1,648,20001634642,0
435,2252292,1A1601,82080,1,82080,160000635981,3
436,2252292,1A1604,0,1,0,160000635982,0
437,2252403,200008,8640,1,8640,1430000226021,0
438,2252456,200071,16200,1,16200,20001629211,2
439,2252456,400021,-3240,1,-3240,20001629212,0
440,2252456,300014,5400,1,5400,20001629213,0
441,2252531,200006,8640,1,8640,1430000221971,1
442,2252531,300004,540,1,540,1430000221972,0
443,2252541,1B2203,0,1,0,20001634041,0
444,2252541,1B2202,0,1,0,20001634042,0
445,2252541,1B2295,0,1,0,20001634043,0
446,2252541,300011,2160,1,2160,20001634044,0
447,2252541,300004,540,1,540,20001634045,0
448,2252541,600089,1620,1,1620,20001634046,0
449,2252564,1B2202,0,1,0,1200000288831,0
450,2252564,1B2203,0,1,0,1200000288832,0
451,2252564,1B2295,0,1,0,1200000288833,0
452,2252564,300011,2160,1,2160,1200000288834,0
453,2252564,300004,540,1,540,1200000288835,0
454,2252646,1B2209,0,1,0,20001632301,0
455,2252646,1B2295,0,1,0,20001632302,0
456,2252697,1B2102,0,1,0,20001637301,0
457,2252697,300004,540,1,540,20001637302,0
458,2252703,1A1502,0,1,0,20001632311,0
459,2252703,1A1507,0,10,0,20001632312,0
460,2252704,1A1502,0,1,0,20001631181,0
461,2252704,1A1506,0,4,0,20001631182,0
462,2252708,,0,1,0,20001628771,0
463,2252708,200081,2052,2,4104,20001630661,0
464,2252708,200071,16200,1,16200,20001636161,2
465,2252708,200035,2160,1,2160,20001636162,0
466,2252708,200082,2268,1,2268,20001636163,0
467,2252709,200101,16200,1,16200,430000083311,0
468,2252709,200102,0,1,0,430000083312,0
469,2252709,200103,0,1,0,430000083401,0
470,2252709,600029,1700,1,1700,430000083402,0
471,2311149,200071,16200,1,16200,290000367201,2
472,2311149,400021,-3240,1,-3240,290000367202,0
473,2311149,300012,2160,1,2160,290000367203,0
474,2311149,200035,2160,1,2160,290000367204,0
475,2312096,1B0304,0,1,0,20001630341,0
476,2312096,1B1407,0,1,0,20001630342,0
477,2312708,1B2201,28080,1,28080,20001628351,4
478,2312708,1B2202,0,1,0,20001628352,0
479,2312708,1B2203,0,1,0,20001628353,0
480,2312708,200082,2268,2,4536,20001628354,0
481,2312708,400543,-2268,2,-4536,20001628355,0
482,2312793,1B1612,0,1,0,20001631041,0
483,2312793,1B2295,0,1,0,20001631042,0
484,2312793,1B2201,28080,1,28080,20001631043,4
485,2312793,1B2206,0,4,0,20001631044,0
486,2312793,1B2203,0,1,0,20001631045,0
487,2312793,300011,2160,1,2160,20001631046,0
488,2312793,300004,540,1,540,20001631047,0
489,2312793,200035,2160,2,4320,20001631048,0
490,2312793,400543,-2160,2,-4320,20001631049,0
491,2312793,200301,10800,1,10800,20001631050,0
492,2312793,200302,0,1,0,20001631051,0
493,2312793,200303,0,1,0,20001631052,0
494,2312794,200006,8640,1,8640,160000637971,1
495,2312794,300004,540,1,540,160000637972,0
496,2312797,1B1612,0,1,0,20001638161,0
497,2312797,1B1613,0,1,0,20001638162,0
498,2312797,1B1602,0,1,0,20001638163,0
499,2312870,1B2102,0,1,0,20001630511,0
500,2312875,200006,8640,1,8640,20001634871,1
501,2312875,200073,8640,1,8640,20001634872,0
502,2312875,300004,540,1,540,20001634873,0
503,2312876,1B2209,0,1,0,20001636181,0
504,2312876,300014,5400,1,5400,20001636182,0
505,2312876,400555,-540,1,-540,20001636183,0
506,2312876,600014,3024,1,3024,20001636184,0
507,2312881,1A1503,0,1,0,20001634971,0
508,2312881,1A1595,0,1,0,20001634972,0
509,2312881,1B2201,28080,1,28080,20001634973,4
510,2312881,1B2206,0,1,0,20001634974,0
511,2312881,400543,-2160,2,-4320,20001634975,0
512,2312881,200035,2160,2,4320,20001634976,0
513,2312890,1A1502,0,1,0,20001631211,0
514,2312890,1A1508,0,4,0,20001631212,0
515,2312894,200049,0,1,0,20001633251,0
516,2312894,1A1501,105840,1,105840,20001633252,5
517,2312894,1B2201,28080,1,28080,20001633253,4
518,2312894,1B2274,-10800,1,-10800,20001633254,0
519,2312894,1A1504,0,1,0,20001633255,0
520,2312894,1A1517,0,1,0,20001633256,0
521,2312894,1A1518,0,1,0,20001633257,0
522,2312894,1A1533,0,1,0,20001633258,0
523,2312894,1A1505,0,1,0,20001638641,0
524,2312895,200049,0,1,0,20001638021,0
525,2312895,1A1501,105840,1,105840,20001638022,5
526,2312895,1A1504,0,1,0,20001638023,0
527,2312895,1A1503,0,1,0,20001638024,0
528,2312895,1B2201,28080,1,28080,20001638025,4
529,2312895,1B2274,-10800,1,-10800,20001638026,0
530,2312895,1A1517,0,1,0,20001638027,0
531,2312895,1A1518,0,1,0,20001638028,0
532,2312895,1A1533,0,1,0,20001638029,0
533,2312897,200071,16200,1,16200,20001637711,2
534,2312897,400548,0,1,0,20001637712,0
535,2321013,1B2203,0,1,0,1430000225921,0
536,2321013,1B2202,0,1,0,1430000225922,0
537,2321013,1B2295,0,1,0,1430000225923,0
538,2321013,300004,540,1,540,1430000225924,0
539,2321013,600018,7179,1,7179,1430000225925,0
540,2321013,143600002,1080,1,1080,1430000225926,0
541,2321013,600006,329,1,329,1430000225927,0
542,2321013,143600002,300,2,600,1430000225928,0
543,2322187,1B2201,28080,1,28080,1430000225291,4
544,2322187,1B2203,0,1,0,1430000225292,0
545,2322187,1B2209,0,1,0,1430000225293,0
546,2322187,1B2205,0,4,0,1430000225294,0
547,2322187,300011,2160,1,2160,1430000225295,0
548,2322335,1B2202,0,1,0,20001630821,0
549,2322335,1B2295,0,1,0,20001630822,0
550,2322538,1B1702,0,1,0,20001633741,0
551,2322538,5A0014,0,1,0,20001633751,0
552,2322551,1B2102,0,1,0,20001629241,0
553,2322551,1A1702,0,1,0,20001629242,0
554,2322551,1B2103,0,1,0,20001629243,0
555,2322551,600097,648,1,648,20001629244,0
556,2322551,200301,10800,1,10800,20001637331,0
557,2322551,400021,-2160,1,-2160,20001637332,0
558,2322599,1B2206,0,4,0,20001632241,0
559,2322599,1B2202,0,1,0,20001638171,0
560,2322604,1A1502,0,1,0,20001633951,0
561,2322604,600028,1700,1,1700,20001633952,0
562,2322604,1A1507,0,4,0,20001633953,0
563,2322604,200009,8640,1,8640,20001637741,0
564,2322604,400477,-8640,1,-8640,20001637742,0
565,2322609,1A1503,0,1,0,20001635111,0
566,2322609,1A1595,0,1,0,20001635112,0
567,2322609,1B2201,28080,1,28080,20001635113,4
568,2322609,1B2202,0,1,0,20001635114,0
569,2322609,200035,2160,2,4320,20001635115,0
570,2322609,400543,-2160,2,-4320,20001635116,0
571,2322609,300011,2160,1,2160,20001635117,0
572,2322609,300004,540,1,540,20001635118,0
573,2322615,200080,1944,2,3888,530000900291,0
574,2322616,200073,8640,1,8640,530000899421,0
575,2322616,300003,1080,1,1080,530000899422,0
576,2322616,300011,2160,1,2160,530000899423,0
577,2322616,300013,1080,1,1080,530000899424,0
