,顧客ID,商品コード,売上単価,数量,売上,明細ID,スコア
2344,10122291,200006,8640,1,8640,100001130041,1
2357,10312223,200071,16200,1,16200,100001130371,2
2364,10342016,200071,16200,1,16200,100001129693,2
2366,10412247,200071,16200,1,16200,100001129381,2
2375,10412249,200006,8640,1,8640,100001129101,1
2383,10711001,200071,16200,1,16200,100001130291,2
2397,10912073,1A1501,105840,1,105840,100001130031,5
2419,11122360,1A1501,105840,1,105840,110000408172,5
2426,11152276,200006,8640,1,8640,110000407661,1
2431,11212247,200006,8640,1,8640,110000407881,1
2432,11212247,200071,16200,1,16200,110000407882,2
2434,11212255,200006,8640,1,8640,110000407951,1
2436,11212259,1A1601,82080,1,82080,110000408871,3
2439,11222077,200006,8640,1,8640,880000051071,1
2445,11232096,1A1501,105840,1,105840,1940000027241,5
2449,11232096,1B2201,28080,1,28080,1940000027245,4
2459,11252154,200006,8640,1,8640,110000408021,1
2468,11322034,200006,8640,1,8640,150000393521,1
2474,11322116,200071,16200,1,16200,110000408392,2
2489,11412215,200006,8640,1,8640,110000407481,1
2496,11412288,1A1601,82080,1,82080,110000408971,3
2500,11432056,1B2201,28080,1,28080,530000900533,4
2502,11512028,200006,8640,1,8640,1430000221201,1
2511,11512196,1A1601,82080,1,82080,110000407303,3
2519,11612101,200006,8640,1,8640,110000407591,1
2534,11712051,200006,8640,1,8640,2010000017661,1
2539,11712147,1A1601,82080,1,82080,110000408641,3
2541,11732048,1A1501,105840,1,105840,110000408131,5
2543,11732048,1B2201,28080,1,28080,110000408133,4
2550,11812053,200006,8640,1,8640,20001632561,1
2556,11852086,200071,16200,1,16200,110000408431,2
2576,12512077,1B2201,28080,1,28080,120000238734,4
2585,12612073,1B2201,28080,1,28080,120000240582,4
2607,14122257,1B2201,28080,1,28080,140000853326,4
2631,14332142,200071,16200,1,16200,780000194211,2
2635,14412382,200006,8640,1,8640,2040000009561,1
2645,14512016,200006,8640,1,8640,140000850791,1
